#{"t_start": 1751863432.412531, "env_id": "None"}
r,l,t,reason
1.263263,199,46.71826,goal_reached
0.393116,256,104.120995,goal_reached
-0.045699,239,158.177616,goal_reached
-3.365528,237,211.6727,collision
-3.023233,152,247.606497,collision
1.206003,162,285.825716,goal_reached
-2.046626,159,323.515947,collision
-0.587025,217,373.118339,goal_reached
-2.913983,247,428.683834,collision
-2.1361,211,476.824591,collision
1.72057,99,502.294359,goal_reached
-1.091378,460,601.054987,goal_reached
-3.149419,532,714.33148,goal_reached
-3.085362,186,757.648267,collision
-3.3707,415,849.374296,goal_reached
-1.588243,325,922.410256,goal_reached
-0.405425,273,984.363278,goal_reached
-2.296731,170,1024.868337,collision
0.802723,263,1084.100863,goal_reached
-0.96698,453,1510.04739,goal_reached
-1.382597,116,1539.396506,collision
-2.749648,381,1622.664169,collision
-1.442216,77,1643.718368,collision
1.206901,283,1707.91432,goal_reached
-0.625327,338,1783.675392,goal_reached
0.915529,153,1820.896728,goal_reached
-2.200464,291,1887.182539,goal_reached
-2.536769,140,1921.809044,collision
-1.290399,359,2001.973161,goal_reached
0.923319,201,2049.270266,goal_reached
-0.652242,339,2125.729185,goal_reached
-2.019242,335,2201.34268,goal_reached
1.718514,149,2237.810176,goal_reached
1.477732,118,2267.874362,goal_reached
-1.370964,46,2282.75443,collision
-1.417124,112,2311.442567,collision
-2.141445,63,2329.842831,collision
1.46458,121,2360.536257,goal_reached
1.30157,78,2382.152905,goal_reached
0.435927,172,2423.334499,goal_reached
-1.556309,129,2455.449033,collision
-0.800741,232,2508.810774,goal_reached
0.08551,439,2605.276024,goal_reached
-1.371342,58,2629.189754,collision
0.205537,276,2998.250226,goal_reached
-2.433335,100,3024.458613,collision
0.844222,141,3058.877421,goal_reached
0.674977,214,3108.619439,goal_reached
0.635941,260,3166.643019,goal_reached
0.374229,269,3226.690217,goal_reached
-1.555148,206,3274.06713,goal_reached
-1.747512,298,3341.559669,goal_reached
-2.498698,235,3395.789974,collision
-1.425955,65,3414.552666,collision
0.823025,198,3460.865223,goal_reached
0.380773,209,3509.415923,goal_reached
1.452187,120,3539.528666,goal_reached
1.178103,163,3578.546229,goal_reached
0.435618,265,3638.607388,goal_reached
1.770037,178,3680.70228,goal_reached
-1.097071,65,3699.421813,collision
-1.210804,328,3772.042933,goal_reached
0.537379,188,3815.339316,goal_reached
-2.439032,140,3849.095603,collision
-4.466475,685,3995.860965,goal_reached
-0.314635,197,4041.864476,goal_reached
-2.535753,279,4299.0105,collision
-0.202222,229,4351.778253,goal_reached
0.009417,215,4401.839761,goal_reached
1.765814,172,4442.916733,goal_reached
-1.325063,63,4461.151126,collision
-1.164285,82,4483.361931,collision
-1.784587,126,4514.56098,collision
1.454707,141,4549.230027,goal_reached
1.395797,145,4584.674142,goal_reached
1.368992,114,4613.341031,goal_reached
1.123652,206,4661.175478,goal_reached
0.501938,296,4727.710767,goal_reached
1.578261,142,4762.578966,goal_reached
-1.471284,314,4832.956938,goal_reached
-1.406106,54,4849.390595,collision
1.190078,248,4905.714551,goal_reached
-2.406998,228,4958.313945,collision
-1.261041,132,4990.72922,collision
-2.882898,173,5031.774132,collision
0.83513,178,5073.707984,goal_reached
-0.523144,258,5132.691107,goal_reached
-1.647912,89,5156.42834,collision
-1.59002,75,5176.940281,collision
1.512003,119,5206.783435,goal_reached
-1.300732,84,5229.395945,collision
0.493852,208,5277.477463,goal_reached
-1.580936,49,5292.813614,collision
1.580568,160,5331.104211,goal_reached
0.894854,133,5364.035428,goal_reached
-0.888153,80,5385.908693,collision
0.755092,282,5449.581572,goal_reached
-0.567906,352,5691.508572,goal_reached
-4.049864,129,5723.110398,collision
-1.430505,50,5738.503048,collision
0.402991,242,5792.624552,goal_reached
0.534385,216,5841.618356,goal_reached
-1.127889,38,5854.573937,collision
0.334467,307,5921.934809,goal_reached
1.338843,136,5955.561054,goal_reached
1.00757,184,5999.117614,goal_reached
-1.924715,101,6025.450506,collision
-3.321831,172,6066.128011,collision
-2.146471,155,6103.481615,collision
-2.880494,61,6121.219417,collision
-0.281317,231,6174.020795,goal_reached
-1.349329,38,6187.060164,collision
-1.479404,192,6232.081495,collision
-1.434806,88,6255.517413,collision
-1.450347,76,6276.420909,collision
-1.675282,105,6303.496628,collision
-2.014132,126,6334.762988,collision
-5.070332,165,6373.837507,collision
-1.739836,114,6402.940979,collision
0.963717,176,6444.92386,goal_reached
0.185569,228,6497.601985,goal_reached
-1.57653,84,6520.292527,collision
0.516428,511,6631.752823,goal_reached
-1.92104,277,6694.41598,goal_reached
-1.702919,234,6748.367489,goal_reached
-2.639288,113,6776.849892,collision
-2.776028,155,6814.083858,collision
-0.412861,479,7120.668799,goal_reached
-2.753062,107,7148.172852,collision
-2.124766,594,7276.151011,goal_reached
-1.793937,177,7318.275371,collision
0.736508,302,7386.22872,goal_reached
-1.407129,69,7405.952773,collision
0.104048,173,7447.116344,goal_reached
0.198132,164,7486.265066,goal_reached
-1.22489,33,7498.405161,collision
-1.474301,27,7509.206492,collision
-2.203831,136,7542.440593,collision
1.134197,145,7577.563577,goal_reached
-0.464839,390,7663.660868,goal_reached
-1.657127,46,7678.543351,collision
1.125089,179,7720.794528,goal_reached
-2.377466,165,7760.434137,collision
-1.455412,296,7827.044103,goal_reached
-1.690762,108,7854.634654,collision
1.489447,156,7892.078352,goal_reached
1.223481,100,7918.2911,goal_reached
-1.88129,157,7956.375202,collision
-1.645193,299,8023.570666,collision
-1.140698,62,8041.645785,collision
1.196502,206,8089.492087,goal_reached
-1.203022,123,8120.178288,collision
-3.124677,269,8181.320752,collision
-1.883835,105,8208.137615,collision
1.436498,210,8661.218485,goal_reached
-1.200379,172,8701.604104,collision
1.478689,217,8751.674421,goal_reached
0.472956,294,8817.044196,goal_reached
0.664055,269,8877.118775,goal_reached
0.942352,172,8917.532822,goal_reached
-2.851773,615,9048.729928,goal_reached
0.834405,170,9088.627089,goal_reached
0.454027,218,9138.762741,goal_reached
0.133138,332,9211.964969,goal_reached
-1.324364,115,9240.679897,collision
-1.836612,100,9266.224777,collision
1.633924,170,9305.9273,goal_reached
-0.538843,319,9376.196725,goal_reached
-1.327971,96,9400.965194,collision
-2.210738,182,9443.386612,collision
1.084005,235,9496.352803,goal_reached
-2.114475,108,9523.616385,collision
-3.822397,281,9586.501285,collision
-0.838302,80,9607.967997,collision
-1.238802,33,9619.734095,collision
-1.247773,121,9649.522862,collision
-1.329368,70,9668.956102,collision
-1.136925,36,9681.369278,collision
1.573001,160,9719.209713,goal_reached
-3.510811,286,9905.610294,collision
-2.635302,186,9948.73656,collision
-1.195329,57,9965.543766,collision
-1.259405,77,9986.402496,collision
1.151787,208,10034.267914,goal_reached
-3.425258,285,10098.071249,collision
1.191348,231,10150.232282,goal_reached
-2.767301,153,10186.59367,collision
1.69899,165,10225.348838,goal_reached
-1.523554,108,10252.791873,collision
-1.40613,217,10301.973672,goal_reached
1.543722,133,10334.320187,goal_reached
0.485417,150,10370.118789,goal_reached
-1.713822,228,10421.802041,goal_reached
-1.691369,69,10441.096496,collision
-1.464715,119,10470.674569,collision
-0.4741,434,10564.647766,goal_reached
-2.775264,114,10593.329247,collision
-3.956254,344,10668.671192,collision
1.268152,109,10695.89659,goal_reached
-4.781187,163,10734.15553,collision
-3.937641,199,10779.597846,collision
-0.703384,232,10832.74418,goal_reached
1.539571,87,10855.756538,goal_reached
-0.607765,194,10900.270912,goal_reached
-1.708628,110,10927.759045,collision
0.560116,122,10957.638863,goal_reached
-3.566702,178,10998.973248,collision
-1.591052,127,11029.812477,collision
-2.2334,138,11062.779303,collision
-1.543549,98,11324.776146,collision
-1.84454,95,11349.281099,collision
1.073791,187,11392.481172,goal_reached
1.522639,277,11454.135559,goal_reached
-2.34073,451,11551.690844,collision
1.436627,168,11591.257597,goal_reached
-0.441494,229,11643.480309,goal_reached
-3.877997,175,11684.738826,collision
-1.469896,149,11720.412294,goal_reached
-1.666126,63,11738.462409,collision
-0.133721,153,11774.985428,goal_reached
1.507414,150,11810.868636,goal_reached
-0.402379,250,11867.593304,goal_reached
0.85534,180,11910.149885,goal_reached
-1.142683,105,11937.175677,collision
