#{"t_start": 1749968972.9038224, "env_id": "None"}
r,l,t
-0.578104,103,3708.080513
0.684419,210,3751.506206
-0.86529,54,3763.244173
0.928641,161,3796.708728
0.701804,1,3797.789673
-0.502934,6,3799.834164
0.876014,204,3842.028778
0.701645,1,3843.078974
-0.504728,4,3844.725095
-0.514672,15,3848.643805
-0.616975,177,3885.281423
-0.836642,38,3893.800038
-0.52779,33,3901.422407
-0.566353,9,3904.070282
-0.507696,49,3914.885414
-0.208991,130,3942.031165
-0.24626,46,3952.169598
-0.513032,7,3954.456624
-0.549843,92,3973.932569
-0.699722,124,3999.888782
0.691592,207,4042.580892
0.702826,1,4043.615875
-0.503004,18,4048.100492
-0.545029,30,4054.98314
-0.560787,3,4056.425209
-0.522894,97,4076.848353
-0.695156,83,4094.459345
-0.663735,98,4115.055316
-0.724329,20,4120.013867
-0.528068,14,4123.680746
-0.526841,35,4131.599043
-0.56457,3,4133.042976
-0.536949,37,4141.348381
-0.618779,68,4155.907752
-0.579614,51,4167.01699
-0.598874,54,4178.754821
-0.652768,66,4193.017053
-0.611536,108,4215.652558
-0.739126,166,4250.225529
-0.795403,15,4254.123041
-0.527251,21,4259.223418
-0.597578,124,4285.165805
-0.266971,42,4294.505993
-0.085105,38,4303.004732
-0.51344,7,4305.250175
-0.500736,3,4306.795771
-0.515728,89,4325.649791
-0.677587,39,4334.404492
-0.620398,118,4359.095488
-0.687332,102,4380.641975
-0.724659,63,4394.237494
0.809292,191,4433.747355
0.700556,1,4434.786934
-0.526896,109,4457.692861
-0.71216,109,4480.668485
0.626,234,4528.883346
0.701958,1,4529.939048
-0.508015,32,4537.27864
-0.597538,57,4549.637004
-0.599687,55,4561.611204
-0.645052,171,4596.98947
0.56565,222,4642.711484
0.702068,1,4643.765831
-0.500828,34,4651.501628
-0.583906,22,4656.811388
-0.545803,37,4665.155416
-0.570104,3,4666.654217
-0.542058,50,4677.596234
-0.910104,178,4878.169317
-0.515252,3,4879.634699
-0.505765,4,4881.288569
-0.539375,102,4902.752553
-0.746595,120,4927.863395
-0.684032,58,4940.411216
-0.628607,62,4953.901631
-0.617965,59,4966.712356
0.830327,182,5004.340888
-0.816709,89,5023.241431
