#{"t_start": 1750065139.8305347, "env_id": "None"}
r,l,t
-0.52986,48,12.38859
-0.574403,3,13.853952
-0.532898,89,32.677134
-0.665236,27,38.988285
0.903469,171,74.416742
0.702896,1,75.452675
-0.50374,5,77.282256
-0.532273,104,99.162103
-0.745362,165,133.433698
-0.876367,177,170.046965
-0.877477,131,197.439717
-0.658823,8,199.876875
-0.504181,22,205.178632
-0.552061,140,234.297575
-0.796861,23,239.808985
-0.527025,3,241.240306
0.985071,154,273.137625
0.700338,1,274.190212
-0.50758,26,280.320256
-0.572461,105,302.355954
-0.697298,39,311.102643
-0.576027,32,318.442633
0.867637,184,356.411265
-0.84421,96,376.654748
-0.658371,24,382.335908
-0.550914,83,399.936468
-0.671165,30,406.830071
-0.571851,140,435.947053
-0.757476,94,455.8231
-0.703797,7,458.063924
-0.516823,52,469.398488
-0.617806,132,496.878202
-0.780698,59,509.629437
-0.600256,98,530.242597
-0.703599,61,543.410334
-0.617681,82,560.851343
-0.673969,18,565.335424
-0.521568,26,571.478935
-0.60434,147,602.134665
-0.760463,39,611.011101
-0.57805,12,614.282115
-0.527286,42,623.659887
-0.585888,7,625.966979
-0.609205,112,649.513463
-0.737113,103,671.164766
-0.600518,55,683.150841
-0.617512,9,685.881071
0.98078,156,718.31631
0.70131,1,719.375342
-0.505618,3,720.850934
0.933734,180,758.094587
-0.889007,74,773.901154
-0.556534,59,786.697492
-0.619686,107,809.155882
0.734204,171,844.687188
-0.858298,79,861.486627
-0.604388,3,862.974342
-0.510322,5,864.848757
-0.589443,136,893.172564
-1.066098,180,930.247073
-0.519287,27,936.541127
0.90454,182,974.126503
0.701595,1,975.173058
-0.502989,5,977.027122
-0.543124,146,1007.345801
-0.797195,82,1024.741093
-0.716152,37,1033.031524
-0.504743,7,1035.308611
-0.503288,28,1041.805545
-0.572799,103,1063.422695
-0.700138,6,1065.468038
-0.592781,44,1142.02484
-0.505395,52,1153.497187
0.850504,174,1189.450702
0.697856,1,1190.495906
-0.518972,90,1209.522774
-0.68164,39,1218.241315
-0.602653,92,1237.662037
-0.666556,30,1244.559493
-0.559242,37,1252.860563
-0.581025,123,1278.519011
