#{"t_start": 1750441528.3267882, "env_id": "None"}
r,l,t,reason
-0.593103,98,24.503079,collision
-1.2121,3,28.006885,collision
-0.642884,65,44.015203,collision
-0.997059,43,55.662529,collision
-1.002053,7,59.948976,collision
-0.622988,73,77.522598,collision
-0.843639,107,102.060898,collision
-0.998105,112,127.568113,collision
-1.039187,116,154.021087,collision
-1.240665,58,168.765421,collision
-0.91616,67,185.134192,collision
1.234112,174,223.141511,goal_reached
0.624591,184,263.119827,goal_reached
-1.348103,126,291.412016,collision
-1.056156,115,317.668931,collision
-1.0211,109,342.384051,collision
-0.93227,150,375.561469,collision
0.760009,184,415.466896,goal_reached
0.655974,170,452.704857,goal_reached
0.602636,200,496.023687,goal_reached
-1.454312,69,512.819157,collision
-1.055663,43,524.444907,collision
-0.866026,47,536.851911,collision
-0.899242,48,549.536514,collision
-0.910332,49,562.326,collision
-0.906401,48,574.947446,collision
-0.909815,48,587.540657,collision
-0.864959,47,599.878877,collision
-0.902573,52,613.281407,collision
-0.911439,48,625.977741,collision
-0.93586,47,638.472378,collision
-1.050567,2,641.749158,collision
1.404372,223,689.702405,goal_reached
-1.675791,5,693.490408,collision
1.49849,176,732.001493,goal_reached
0.605942,196,774.508839,goal_reached
-1.330974,110,799.585991,collision
-1.036993,112,825.195977,collision
-1.039045,113,850.935815,collision
-1.369631,3,854.534423,collision
-0.701522,49,867.300802,collision
-0.869191,47,879.708606,collision
-0.919237,50,892.721332,collision
-0.887991,59,907.58376,collision
-0.926695,41,918.776439,collision
-0.899498,46,930.974648,collision
-0.877759,49,943.791361,collision
-1.03281,10,948.717401,collision
1.414307,191,990.193744,goal_reached
-1.399899,117,1016.71608,collision
-1.098454,68,1033.41768,collision
-0.885926,83,1053.134534,collision
1.074215,178,1091.987599,goal_reached
-1.670735,3,1095.45722,collision
-0.639444,50,1108.591453,collision
-0.932846,104,1132.545065,collision
-1.015266,52,1145.913352,collision
-0.901037,51,1159.269437,collision
-1.073857,3,1162.87962,collision
-0.639834,68,1179.647517,collision
-0.996173,91,1364.34009,collision
-0.977723,42,1375.702593,collision
-0.995444,15,1381.609978,collision
-0.704558,58,1396.252997,collision
-1.055889,20,1403.204957,collision
-0.760979,39,1414.005972,collision
-1.036467,3,1417.4629,collision
1.478888,184,1457.580079,goal_reached
0.630356,184,1497.64764,goal_reached
-1.251645,128,1526.367465,collision
-1.307481,53,1540.073479,collision
-0.931372,50,1553.084448,collision
-0.937315,51,1566.311415,collision
-0.898203,48,1578.95434,collision
-1.061873,3,1582.486002,collision
1.501828,176,1620.870375,goal_reached
0.633522,183,1660.684854,goal_reached
0.645964,176,1699.059922,goal_reached
-1.673993,3,1702.575298,collision
-0.565222,79,1721.448316,collision
1.07211,184,1761.501651,goal_reached
0.643946,177,1800.159867,goal_reached
-1.431205,82,1819.592414,collision
-1.047095,49,1832.48595,collision
-0.926719,48,1845.104962,collision
-0.922623,49,1857.910325,collision
-0.885852,51,1871.092973,collision
-0.929015,48,1883.662872,collision
-1.031679,4,1887.375671,collision
1.457725,191,1928.881317,goal_reached
-1.641645,9,1933.59405,collision
-0.694601,51,1946.781201,collision
-1.063518,4,1950.47325,collision
1.469853,189,1991.510278,goal_reached
0.630927,183,2031.352511,goal_reached
0.659762,172,2068.990548,goal_reached
-1.550621,45,2080.962763,collision
-0.784479,73,2098.618672,collision
-1.029899,52,2112.038885,collision
-0.915601,53,2125.651107,collision
