#{"t_start": 1750102898.065311, "env_id": "None"}
r,l,t
-0.515109,49,13.448273
-0.768851,163,48.603077
-0.652127,6,52.202697
0.949736,196,93.939174
0.653308,1,96.54549
-0.511006,99,118.77614
0.740131,206,162.60797
0.652853,1,165.209651
-0.535144,80,183.680119
-0.843377,159,217.965974
-0.678327,156,251.807096
-0.747306,3,254.776867
-0.509824,4,257.960659
-0.232017,204,301.351706
-0.955054,157,335.306361
-0.579991,21,341.930243
-0.798939,149,374.282061
-0.560479,30,382.714024
0.896603,222,429.852207
0.652821,1,432.420786
0.936115,203,475.627838
0.652531,1,478.207632
0.972037,185,517.794753
0.653748,1,520.385206
0.946781,199,562.846613
-0.85252,3,565.841559
-0.808764,221,612.724134
-0.855925,119,639.047395
-0.535562,9,643.268218
-0.508674,5,646.689592
-0.532923,16,652.311459
-0.761469,134,681.56227
-0.772734,136,711.226138
-0.548471,20,717.63447
0.89415,227,765.880387
0.652826,1,768.454363
0.955312,194,809.922104
0.653498,1,812.488139
-0.722839,223,859.742629
-0.741978,117,885.799042
0.753749,184,925.263071
0.653617,1,927.834531
-0.509682,86,947.518657
0.788391,194,988.899469
0.651982,1,991.501048
0.972813,185,1031.286138
0.65325,1,1033.883008
-0.732695,197,1075.978148
-0.782631,64,1091.220379
-0.514848,4,1094.409045
-0.51589,100,1116.90112
0.621515,264,1230.805314
0.653609,1,1233.388227
0.94025,201,1276.316159
0.653448,1,1278.87811
0.84776,247,1330.96619
0.653224,1,1333.549426
-0.53926,132,1362.64643
-0.902965,91,1383.370118
-0.276763,130,1411.9377
0.594631,381,1490.987181
-1.053996,154,1524.344497
-0.60618,3,1527.339077
0.856009,242,1578.602355
0.653271,1,1581.175285
-0.503723,23,1588.200498
-0.718138,155,1621.748543
-0.648033,3,1624.736996
-0.512229,33,1633.79819
-0.63109,112,1658.679806
-0.393417,211,1703.468269
-0.761419,53,1716.479037
-0.743915,205,1760.054149
-0.765856,45,1771.464799
-0.538814,22,1778.283456
-0.580062,51,1790.984208
-0.561335,57,1804.927369
-0.702308,130,1833.645038
0.826059,175,1871.266607
0.65223,1,1873.846071
0.929381,206,1917.677462
0.653952,1,1920.249426
0.934555,204,1963.68207
0.652483,1,1966.270945
-0.701557,175,2003.870927
-0.656926,3,2006.870706
-0.661103,251,2059.735161
-1.048753,119,2086.163119
-0.778812,130,2114.876279
-0.531087,14,2120.091151
-0.534346,18,2126.125475
-0.730924,118,2152.233151
-0.543106,11,2156.85998
-0.644686,77,2174.713744
-0.512688,3,2177.691857
-0.545711,135,2207.136168
0.639681,238,2257.331147
0.653726,1,2259.911379
-0.674734,195,2301.47735
0.470782,329,2521.243826
0.653091,1,2523.832881
-0.224691,176,2561.519995
0.795406,209,2606.079324
0.653782,1,2608.647385
