#{"t_start": 1750414829.6659367, "env_id": "None"}
r,l,t,reason
-1.010286,128,4127.125535,collision
-1.24138,49,4139.94119,collision
-0.951949,51,4153.338993,collision
-0.903528,48,4165.646192,collision
-0.907024,48,4178.239815,collision
-1.046942,4,4181.914758,collision
-0.458589,122,4209.470304,collision
-0.925042,147,4242.086195,collision
-1.472588,48,4254.696471,collision
-0.973844,196,4297.466936,collision
-1.260652,6,4301.433464,collision
-0.810703,4,4305.138438,collision
-0.809236,51,4318.401038,collision
-0.73288,50,4331.561354,collision
-0.931313,48,4344.1923,collision
-1.046937,3,4347.676412,collision
-0.749697,22,4355.043295,collision
-0.885602,25,4362.956037,collision
-0.745295,53,4376.525918,collision
-0.628809,169,4413.662964,collision
-1.305662,101,4437.08027,collision
-1.061137,73,4454.758087,collision
-0.99998,74,4472.737365,collision
-1.096828,26,4480.885579,collision
-0.841334,27,4489.212285,collision
-0.909364,25,4497.045705,collision
-0.766478,49,4509.855968,collision
-0.939454,47,4522.398221,collision
-1.026963,4,4526.088378,collision
-0.441032,133,4555.846237,collision
-1.119959,115,4582.023496,collision
-1.31819,19,4588.739534,collision
-0.821784,39,4599.512061,collision
-0.865452,45,4611.500298,collision
-0.87398,49,4624.291581,collision
-0.902403,85,4644.386664,collision
-0.801892,115,4670.546476,collision
-1.009049,111,4695.966421,collision
-1.390682,6,4699.75055,collision
-0.688396,51,4712.95754,collision
-0.902597,47,4725.333613,collision
-0.877892,55,4739.38915,collision
-1.044073,18,4745.893909,collision
1.446349,165,4782.178125,goal_reached
-1.670296,3,4785.683335,collision
-0.579051,73,4803.311697,collision
-0.9929,583,4924.122673,no_progress
-0.938884,150,4957.358943,collision
-1.401589,39,4968.23458,collision
-0.967191,85,5057.292468,collision
-0.866883,46,5069.475169,collision
-0.975621,27,5077.821038,collision
-0.60122,123,5105.685858,collision
-1.216317,54,5119.5632,collision
-1.112619,3,5123.037958,collision
1.471227,188,5164.046639,goal_reached
-0.152041,178,5202.963771,goal_reached
0.650058,173,5240.835872,goal_reached
-1.343888,122,5268.431954,collision
-1.380432,3,5272.035977,collision
-0.654131,48,5284.651711,collision
-0.908373,50,5297.664818,collision
-0.877581,75,5315.595508,collision
1.190031,164,5351.689632,goal_reached
-1.551577,37,5362.056971,collision
-0.845121,50,5375.034815,collision
-1.02271,16,5381.031694,collision
-0.458166,182,5420.780599,collision
-1.242579,113,5446.604444,collision
-1.04224,135,5476.823476,collision
-1.410882,4,5480.704441,collision
-0.573226,97,5503.293497,collision
-1.129186,43,5514.888438,collision
-0.895167,49,5527.782515,collision
-0.98714,115,5553.972245,collision
-0.969436,45,5566.003026,collision
-0.864717,43,5577.549336,collision
-1.049787,4,5581.245306,collision
1.488115,183,5621.041276,goal_reached
0.659653,168,5657.892884,goal_reached
0.65072,178,5696.774786,goal_reached
0.626013,182,5736.432854,goal_reached
0.627689,185,5776.725404,goal_reached
-1.44055,80,5795.844145,collision
-1.036938,108,5820.763387,collision
-0.803649,3,5824.987267,collision
-0.814439,3,5828.468771,collision
-0.484496,110,5853.600114,collision
-0.978069,107,5878.195925,collision
-1.06285,113,5904.08265,collision
-1.012424,111,5929.46505,collision
-1.302867,27,5937.886124,collision
1.344712,183,5977.72485,goal_reached
-1.324117,127,6006.309466,collision
-1.130557,90,6027.546576,collision
1.055299,177,6066.168359,goal_reached
0.642955,179,6105.264666,goal_reached
-1.366911,124,6133.288107,collision
-1.365003,3,6136.919373,collision
-0.648343,49,6149.688243,collision
-0.917799,49,6162.597444,collision
-0.92709,47,6175.154792,collision
-0.910891,75,6193.179364,collision
-1.00753,254,6406.245015,collision
-1.279138,42,6417.638245,collision
-0.938455,25,6425.563186,collision
-0.589081,113,6451.404401,collision
-1.381987,3,6454.893599,collision
-0.667212,48,6467.496737,collision
-0.912956,49,6480.360818,collision
-0.303706,169,6517.615021,no_progress
-0.777527,101,6540.961135,collision
-1.04715,105,6565.190828,collision
-0.849689,152,6598.834132,collision
0.738956,187,6639.644123,goal_reached
0.635447,186,6680.126236,goal_reached
-1.33954,110,6705.300019,collision
-1.128698,81,6724.692791,collision
-0.997986,86,6744.862001,collision
-1.052126,62,6760.305164,collision
-0.890022,57,6774.740159,collision
-0.974323,42,6786.25158,collision
-0.868842,47,6798.61659,collision
-0.915182,46,6810.979351,collision
-0.893631,50,6823.658763,collision
-0.884936,56,6837.870047,collision
-0.971446,44,6849.775312,collision
-0.849587,48,6862.363357,collision
-0.923639,45,6874.527818,collision
-0.885685,50,6887.512971,collision
-0.915122,48,6900.152172,collision
-0.900617,51,6913.340118,collision
-0.923317,47,6925.726192,collision
