#{"t_start": 1750156805.428998, "env_id": "None"}
r,l,t
-0.593233,80,19.630654
-0.723591,66,35.400482
-0.540429,44,46.633287
-0.546783,13,51.634332
-0.500326,5,55.040319
-0.540353,18,61.059384
-0.818636,148,93.24062
-0.479543,3,96.295451
-0.583634,53,109.444453
-0.599411,45,120.996874
-0.880582,162,156.218354
-0.493241,16,161.905427
-0.514441,10,166.335972
-0.520757,6,170.014231
-0.53354,14,175.290498
-0.542812,29,183.595088
-0.955178,279,242.834498
-0.685771,33,251.952168
0.934615,207,296.563874
0.65163,1,299.184077
-0.700647,109,323.859637
-0.523906,3,326.897864
-0.296946,152,360.31922
0.874352,229,409.733643
0.654087,1,412.35867
-0.653919,110,437.278018
-0.646114,51,450.12963
-0.560834,19,456.461648
-0.479732,216,502.731992
-0.537636,88,523.831241
-0.881246,127,552.115742
-0.528811,13,557.108145
-0.674069,68,573.392186
-0.744752,205,617.515246
-0.65128,3,620.530513
-0.610971,57,634.574048
-0.517159,5,637.979734
0.799121,272,695.34638
0.652775,1,697.94347
-0.667556,93,719.125371
-0.534018,7,722.938639
-0.592931,77,740.933949
-0.57302,5,744.34629
-0.741852,151,777.297787
-0.683206,59,791.680799
-0.609656,96,813.572131
0.848366,209,858.505217
0.653218,1,861.119989
-0.629534,70,877.819337
-0.594605,155,911.804428
-0.851639,132,941.179379
-0.709936,40,951.78775
-0.526369,3,954.816119
-0.662121,90,975.600416
-0.669814,75,993.291156
-0.807979,135,1023.153331
-0.601474,62,1039.026118
-0.532846,5,1042.473037
-0.577517,113,1067.957009
-0.770397,67,1084.052241
-0.52122,5,1087.539967
-0.71769,138,1118.137699
-0.576304,5,1121.604667
-0.506584,5,1125.076372
-0.612962,60,1139.73353
-0.587664,39,1150.134391
-0.547096,60,1164.778635
-0.848568,238,1270.015054
-0.721403,22,1276.94888
-0.629267,53,1290.209296
-0.540319,11,1294.901434
-0.551214,18,1301.005524
-0.503728,4,1304.276456
-0.506991,5,1307.753953
-0.651559,79,1326.280302
-0.525445,6,1329.988381
-0.600576,81,1348.953907
-0.580717,12,1353.847981
-0.560508,27,1361.851001
-0.623023,89,1382.467249
-0.67807,58,1396.703855
-0.504902,3,1399.753947
-0.61784,64,1415.184319
-0.671443,124,1442.856475
-0.598198,15,1448.342633
-0.530567,4,1451.579767
-0.700474,127,1479.932344
-0.602933,26,1487.65099
-0.817578,203,1531.46673
-0.727534,97,1553.603224
-0.798379,103,1576.885233
-0.490215,6,1580.560238
-0.649913,105,1604.395298
-0.574934,10,1608.871991
-0.682402,118,1635.326479
-0.570303,6,1638.989202
0.772642,283,1699.146079
0.653575,1,1701.826842
-0.505188,3,1704.91481
-0.669633,153,1738.635154
-0.650507,3,1741.70094
-0.754817,200,1784.927128
-0.793708,80,1803.609183
-0.547791,23,1810.686067
-0.637042,79,1829.177359
-0.70584,83,1848.589981
-0.516065,10,1853.07779
-0.590151,80,1871.747954
-1.014304,201,1914.827745
-0.931187,194,1957.407591
-0.855175,168,1994.04355
-0.459565,11,1998.686074
-0.662077,87,2018.900792
-0.549987,19,2025.211217
-0.545602,28,2033.365576
-0.928422,186,2073.687216
-0.497529,50,2086.403208
-0.651227,74,2103.864191
-0.578638,14,2109.178807
-0.521945,7,2113.068808
-0.539833,18,2119.14694
-0.383634,186,2159.467588
-0.771307,131,2188.556978
-0.487667,5,2192.040557
-0.574157,37,2202.029449
-0.509079,16,2207.76952
-0.611021,76,2225.674736
-0.579534,5,2229.143853
-0.669651,156,2263.314971
-0.653675,4,2266.548418
-0.585168,52,2279.599045
-0.533523,4,2282.847896
-0.510543,5,2286.311348
-0.57869,75,2304.061141
-0.741407,108,2328.506254
-0.628885,86,2348.446989
-0.777771,125,2376.445469
-0.741699,119,2403.159895
-0.588667,13,2408.258977
-0.78869,196,2523.335
-0.611932,4,2526.596135
-0.600585,51,2539.418958
-0.829434,189,2580.285996
-0.561572,12,2585.157675
-0.626317,90,2605.94223
-0.664674,95,2627.698207
-0.661957,104,2651.329642
-0.646862,17,2657.219999
-0.58961,47,2669.292147
-0.543323,15,2674.7672
-0.523233,18,2680.877922
-0.930222,199,2723.664119
-0.870871,271,2781.403428
-0.945676,179,2820.283772
-0.940837,162,2855.590123
-0.612335,103,2878.989092
-0.972378,197,2921.412504
0.778272,298,2983.865919
-0.969715,68,2999.974537
-0.52352,6,3003.594677
-0.558446,55,3017.086945
-0.61984,40,3027.571273
-0.541285,11,3032.183135
-0.570466,36,3041.837769
-0.610379,83,3060.949459
-0.607255,31,3069.613311
-0.59394,92,3090.620453
-0.703848,82,3109.580085
-0.588669,20,3116.045414
-0.70782,94,3137.377707
-0.503988,7,3141.18735
-0.518765,6,3144.796342
-0.534212,15,3150.235441
-0.899482,181,3189.080527
-0.654862,80,3208.178242
-0.507451,3,3211.195555
-0.583735,48,3223.281907
-0.70444,103,3246.418237
-0.559223,44,3257.71377
-0.662933,109,3282.130563
-0.697236,52,3295.019344
-0.885479,170,3331.66428
-0.731173,163,3366.98243
-1.045318,223,3414.360983
-0.581555,71,3432.12796
-0.83535,154,3465.620813
-0.602288,66,3481.347867
-0.695553,88,3501.5367
-0.68276,101,3524.301781
-0.60635,19,3530.536615
-0.848159,155,3564.123015
-0.548309,27,3572.70235
-0.511037,10,3577.102804
-0.669587,82,3595.998458
-0.659849,79,3614.32183
-0.354297,180,3653.058011
-0.542469,14,3693.833679
-0.517418,9,3698.067422
-0.549346,24,3705.319645
-0.521792,13,3710.354251
-0.529383,10,3714.773926
-0.721384,140,3745.423618
0.853138,214,3790.925993
0.652519,1,3793.51744
-0.575064,43,3804.623479
-0.667352,108,3828.789553
-0.581953,10,3833.189288
-0.872569,196,3875.098998
-0.600165,45,3886.561551
-0.545771,22,3893.396292
-0.569578,60,3907.918007
-0.561077,3,3910.918609
-0.654231,105,3934.481738
-0.66824,126,3962.270281
-0.648046,3,3965.293529
-0.609944,98,3987.449294
-0.597015,4,3990.651513
-0.774533,145,4022.313145
-0.533492,6,4025.930569
-0.330681,192,4067.094917
-0.613093,39,4077.371445
-0.564201,27,4085.207798
-0.750157,136,4115.026572
-0.771527,107,4139.016155
-0.536752,37,4149.570536
-0.593316,35,4159.027853
-0.554589,20,4165.444751
-0.521669,15,4170.875326
-0.537575,17,4176.699519
-0.537056,13,4181.73729
-0.784089,121,4208.570808
-0.699573,131,4237.384179
-0.657755,147,4269.442128
-0.818245,85,4289.008379
-0.526552,5,4292.422449
-0.558444,29,4300.684403
-0.509318,5,4304.099473
-0.65041,106,4327.901646
-0.59774,19,4334.144101
-0.677384,97,4356.15924
-0.635751,64,4371.528594
-0.544286,16,4377.137134
-0.501834,4,4380.337271
-0.535546,15,4385.774768
-0.565875,42,4396.714319
-0.60906,118,4422.930965
-0.755897,69,4439.34144
-0.524865,3,4442.337023
-0.567497,40,4452.793811
-0.559245,21,4459.443319
-0.652123,72,4476.36247
-0.55964,35,4485.841267
-0.68255,176,4523.726709
-0.483307,160,4558.397038
-0.62924,56,4572.116093
-0.867391,355,4646.107448
-0.929929,78,4664.273666
-0.604787,24,4671.527365
-0.515297,6,4675.136587
-0.519169,9,4679.348766
-0.537436,18,4685.393164
-0.512839,11,4690.017886
-0.890511,163,4725.26486
-0.486716,23,4732.31755
-0.550083,26,4739.969944
-0.5534,29,4748.195593
-0.875701,166,4784.012549
-0.611962,88,4804.153855
-0.545321,6,4807.794608
-0.624941,89,4828.283906
-0.576423,12,4833.094088
-0.505294,4,4836.291258
-0.532437,15,4841.695463
-0.671531,179,4880.155435
-0.758527,61,4957.077559
-0.588167,54,4970.363475
-0.618708,97,4992.356804
-0.714801,90,5013.020941
-0.756532,140,5043.699337
-0.724484,98,5065.911618
-0.684898,107,5089.943098
-0.727501,109,5114.367419
-0.672518,39,5124.651019
-0.612702,101,5147.45759
-0.761019,61,5162.212226
-0.530698,23,5169.256881
-0.631937,95,5190.85259
-0.701744,93,5212.035261
-0.728906,174,5249.556003
-0.689676,3,5252.586043
-0.586577,50,5265.051299
-0.553585,16,5270.686765
-0.544745,28,5278.734278
-0.64579,103,5301.930131
-0.815788,202,5345.133832
-0.670172,3,5348.12952
-0.356759,186,5388.043856
-0.652216,83,5407.181988
-0.573995,33,5416.216027
-0.826907,196,5458.201417
-0.865634,206,5502.156985
-0.640797,27,5510.072136
-0.72451,111,5534.866714
-0.562154,5,5538.273489
-0.720292,141,5569.091363
-0.583277,14,5574.328327
-0.515179,8,5578.317565
-0.523063,23,5585.363142
-0.61101,68,5601.511523
-0.567186,5,5604.894045
-0.533982,15,5610.316828
-0.514762,10,5614.721493
-1.208772,371,5691.922602
-0.54758,4,5695.113681
-0.665812,114,5720.488919
-1.133965,300,5783.454426
-0.533787,3,5786.591335
-0.575713,105,5810.228394
-0.731076,49,5822.576938
-0.518956,6,5826.172671
-0.559894,29,5834.430424
-0.674052,155,5868.073922
-0.767784,75,5885.616078
-0.535379,11,5890.232692
-0.530285,13,5895.267667
-0.518857,5,5898.658097
-0.540051,22,5905.4835
-0.514458,5,5908.88676
-0.600258,108,5933.052247
-0.823746,132,5962.082548
-0.694513,84,5981.448201
-0.582006,32,5990.300378
-0.534317,61,6005.000128
-0.659402,74,6022.391779
-0.697066,59,6036.702136
-0.529761,5,6040.120659
-0.557908,27,6047.949094
0.933952,206,6091.899362
0.651116,1,6094.506
-0.890086,189,6254.129061
-0.553701,30,6262.594316
-0.527914,85,6282.155519
-0.647002,3,6285.224549
-0.621873,66,6300.906418
-0.573786,78,6319.032978
-0.603643,3,6322.029945
-0.614588,64,6337.323157
-0.681611,113,6362.507031
-0.599106,19,6368.717042
-0.753161,141,6399.516257
-0.544616,7,6403.304863
-0.562198,32,6412.153644
-0.673086,87,6432.112865
-0.529817,16,6437.743444
-0.720091,90,6458.243818
-0.783053,155,6492.769146
-0.54794,11,6497.394143
