#{"t_start": 1749496873.6007514, "env_id": "None"}
r,l,t
-1.031196,102,22.725498
-1.203274,31,29.786702
-1.085165,153,61.327881
-0.306859,21,66.37373
0.972442,162,99.778613
-0.342249,21,104.884306
-1.006603,3,106.321395
0.9743,163,161.143296
0.698488,1,189.312683
-1.005718,12,192.575889
-1.061671,95,212.584792
-1.168391,37,256.596851
-0.112305,104,278.379729
-1.183212,13,311.740868
-1.014597,6,313.805282
-0.067514,35,321.707467
-0.114344,56,443.312748
-1.044067,26,494.358281
-1.072782,34,502.041633
-0.095609,41,557.380141
0.90747,202,599.163399
-1.350472,129,635.153176
-1.222402,29,674.945456
0.90337,25,789.332066
-1.019869,51,800.514338
0.900582,157,833.032991
0.886963,1,849.310952
-1.005545,3,850.767138
-1.007842,14,854.487924
0.945872,162,888.094991
0.69953,1,909.308376
-1.009123,28,915.809201
-1.052662,44,925.556656
-1.355698,189,1119.552363
-1.124063,36,1156.362717
-0.099324,97,1176.752803
-1.207031,26,1214.381626
-1.091734,81,1231.623974
-1.315828,158,1459.014871
-1.078332,3,1460.473236
0.987271,153,1492.073941
-0.339484,21,1513.386809
-0.045235,59,1526.112027
-0.121343,24,1573.941393
0.981201,158,1606.751965
-0.341541,21,1633.313669
-1.060686,30,1756.814384
-0.068336,34,1764.591699
-1.014822,6,1810.335956
-1.03473,20,1815.20929
-1.012939,4,1816.856074
-1.038531,21,1821.921956
-1.026179,12,1871.530864
-1.025815,14,1875.199429
-1.035429,20,1880.079604
-1.05384,19,1884.76333
-0.131583,66,1942.443444
-0.097495,42,1997.563321
-1.00527,8,2000.079306
-0.040879,40,2008.965765
-1.043019,4,2049.927814
-0.117987,139,2078.871743
-1.254901,67,2238.636827
-1.052041,24,2244.333144
-1.061631,39,2296.983244
0.91605,159,2329.917574
0.698786,1,2349.312797
-1.024522,49,2360.045187
-1.083086,71,2375.137002
-1.406025,162,2538.08543
0.922938,158,2570.864034
0.699839,1,2589.312599
0.99183,153,2620.925738
0.698497,1,2649.305979
-1.005108,6,2651.361386
-0.053522,21,2656.42615
-1.028262,75,2672.457591
-1.135201,21,2713.377692
-0.072581,21,2718.436666
-1.017158,22,2837.795392
-0.072223,56,2849.922689
0.806176,210,2931.594912
-0.342238,21,2953.356474
-0.07766,112,2976.677658
-1.163286,7,3010.517231
-1.008375,4,3012.163881
-1.020263,11,3015.223881
-1.01288,6,3017.274092
-1.131993,96,3197.48085
0.931809,154,3229.226175
0.897313,1,3249.309735
-1.019078,53,3260.858063
-1.104629,29,3314.950169
-1.086164,114,3338.822638
-1.212259,31,3375.373708
-0.086862,21,3380.464715
-1.007732,52,3391.840372
-1.118559,8,3492.974106
0.946085,177,3529.459497
-1.453636,132,3575.725195
-1.123916,34,3615.98647
-0.104411,98,3636.633706
-1.193004,25,3674.141845
-1.035021,13,3677.595175
-1.061,35,3852.790516
-1.013305,5,3854.645881
-0.11018,131,3881.961734
-1.159067,3,3909.709325
-1.026309,12,3912.963831
-1.02457,11,3916.017988
-1.001719,9,3918.68329
-1.004921,6,3920.732916
-1.013522,6,3922.785389
-1.002588,5,3970.123584
-1.047321,24,3975.818313
-1.039706,15,3979.698233
-1.030609,22,3984.982698
-0.093366,41,4037.360699
0.976759,164,4071.196262
-1.368001,34,4210.348928
0.976705,161,4243.996434
0.698997,1,4269.314849
-1.008129,26,4275.446473
-1.056397,33,4282.989248
-1.086742,45,4338.159658
-1.073755,52,4349.464444
0.863395,167,4422.836104
0.649095,175,4549.586018
-1.314089,11,4571.346114
-1.050795,37,4579.658892
0.952391,157,4612.015123
-1.312593,22,4633.550159
-1.289085,133,4754.379942
-1.061934,29,4761.102987
0.952936,168,4842.895138
-0.338891,21,4873.347528
-0.047054,61,4886.461352
-1.092357,7,4930.522017
-1.025641,12,4933.801323
-1.00728,5,4935.653296
-1.030099,17,4939.935519
-0.076711,45,4949.935
-1.097092,38,4996.740891
-0.065302,35,5004.600762
-0.049321,34,5055.95194
-1.055638,93,5190.046988
-1.166252,22,5233.536914
-0.074108,21,5238.608941
-1.004979,4,5240.262965
-1.027262,125,5266.39512
-0.272157,21,5293.334419
0.989015,154,5325.184077
0.699004,1,5349.308556
-1.012926,26,5355.380991
-1.045363,4,5357.023998
-0.115722,59,5477.601819
-1.017836,28,5484.104211
-1.055429,3,5529.724123
-1.02184,53,5541.302935
-1.115792,50,5599.195077
-0.128269,39,5607.862204
-1.133129,54,5660.023823
-0.080053,45,5669.917753
-1.074982,31,5715.368364
-1.072476,46,5725.518975
-1.33696,155,5955.565955
-1.054385,28,5962.088926
-1.011026,13,6011.725109
-1.031119,31,6018.800557
-1.06483,48,6029.326693
-1.102861,27,6074.570581
0.940658,155,6106.757605
-1.341123,44,6138.015945
0.634018,308,6287.687948
0.998,1,6309.295751
-0.999499,29,6315.990245
-1.067043,66,6330.162028
-1.157856,48,6378.789759
0.92765,149,6409.942197
0.69822,1,6429.316469
-0.109182,74,6505.945659
-1.07329,18,6552.740821
-1.020814,11,6555.835066
-0.143984,68,6570.386063
-1.035538,22,6613.558801
-0.154882,61,6626.650765
-0.996379,14,6671.935103
-1.03394,14,6675.603119
-1.062233,35,6683.49901
0.927901,186,6766.592416
0.648336,175,6882.832956
0.700956,1,6909.313036
-1.041878,96,6929.558885
-1.174219,30,6975.156394
0.932271,164,7009.088403
-1.315592,42,7037.594805
-1.075674,4,7039.238158
0.959517,166,7249.083982
-1.322752,43,7277.795424
-1.070848,3,7279.248601
0.990766,152,7310.88002
0.699419,1,7329.354411
-0.386944,266,7483.649947
-1.17951,15,7512.14972
-0.070838,38,7520.681474
0.936604,181,7558.403401
0.734164,1,7569.310492
-0.32328,242,7718.096168
-1.22798,56,7760.381185
-0.088574,21,7765.433849
-1.018047,9,7810.927749
-0.092331,42,7820.213794
-0.093283,92,7839.528759
-1.106486,13,7871.730056
-1.017617,6,7873.791513
-1.010847,5,7875.633886
-1.08438,121,7900.95215
-1.17351,26,7934.372145
0.929762,164,8022.563028
0.699345,1,8049.306728
-1.004567,4,8050.951144
0.978674,156,8083.164402
0.698921,1,8109.306395
-1.021379,67,8123.665899
-1.141858,41,8177.364637
-1.062168,6,8179.414857
-1.163667,98,8355.54795
0.917838,167,8389.972637
0.952052,1,8409.307693
0.971513,164,8443.26809
0.698656,1,8469.312994
-1.017324,101,8490.541991
-1.427953,237,8631.483442
-1.267904,49,8659.065082
0.917005,155,8691.366268
-1.490323,126,8836.83818
-0.20381,184,8874.914882
0.732647,169,8923.176209
-0.342641,21,8953.358435
-0.065182,76,8969.52731
-1.098791,7,9010.526269
0.980176,11,9129.317215
0.960562,169,9164.251582
0.699044,1,9189.309882
0.974789,162,9222.919758
-1.356182,73,9263.965281
-1.117732,45,9318.167048
-1.20015,96,9498.598395
-1.117379,29,9505.269727
-1.01508,7,9550.525118
-1.012784,7,9552.780546
-1.058782,28,9559.293754
-1.093431,70,9574.299027
-0.115624,79,9625.13407
-1.092494,32,9675.614205
0.938694,149,9706.55337
0.698326,1,9729.308275
-1.02701,39,9737.995191
0.899072,173,9884.178039
0.699365,1,9909.303046
-1.004734,3,9910.751888
-1.007201,23,9916.217706
0.930222,160,9949.310792
-1.334327,45,9978.180171
-0.10691,26,9984.255712
-1.029239,13,10031.742044
-0.096917,49,10042.492672
-0.082902,119,10177.791978
-1.160768,5,10210.120112
-1.057945,34,10217.815416
-1.097379,61,10230.968676
-1.067216,80,10285.23503
0.832302,165,10362.435307
-1.318982,39,10396.974019
-1.064839,4,10398.641266
-1.047749,43,10575.342938
-0.090524,23,10580.797705
-1.033162,15,10632.13856
-1.011757,5,10633.987762
-1.011434,6,10636.043233
-1.021545,11,10639.130167
-1.075609,32,10646.432451
-1.019769,20,10693.140723
-0.082184,30,10700.0191
-0.058754,25,10705.896474
-1.069343,35,10756.197603
-0.077981,58,10768.758616
-1.045617,7,10810.537592
-1.064236,33,10818.097048
-0.03974,98,10838.814687
-0.353337,99,11000.416605
-0.044633,37,11008.770671
-1.096785,92,11067.76232
-1.144525,48,11118.860574
-1.089341,34,11126.58463
-1.064962,3,11169.705095
-1.005944,3,11171.151362
-0.045435,64,11184.869083
-1.101706,7,11230.520856
-1.096383,54,11242.224766
-1.020564,6,11290.316159
-1.01997,5,11292.188514
-0.048747,21,11297.259446
-0.215807,111,11413.976092
-1.003756,4,11415.622161
-0.05117,58,11428.151767
-1.111991,23,11473.783022
-0.081136,34,11481.508673
-1.102481,60,11541.286573
-1.039135,56,11600.565311
-1.107904,12,11603.841747
0.907169,197,11688.866946
-0.34458,21,11713.318697
-1.067916,62,11897.24069
-0.110411,44,11907.000608
-1.097089,95,11968.266404
-1.155265,47,12018.616665
-1.082496,119,12043.451042
-0.589446,261,12219.231784
-1.196965,18,12252.732387
-1.043748,25,12258.612334
-0.102551,47,12268.991882
