#{"t_start": 1753711455.9334316, "env_id": "None"}
r,l,t,reason
-45.019516,447,19663.990098,goal_reached
-4.780222,172,19703.845604,goal_reached
-12.587904,127,19734.618593,collision
-6.712795,155,19770.928638,goal_reached
-14.914547,237,19823.895442,goal_reached
-17.850244,292,19887.880204,goal_reached
-50.587145,521,19998.082629,goal_reached
-51.286531,535,20111.312839,collision
-24.666861,345,20186.10645,collision
-17.066208,263,20244.332861,goal_reached
-35.515869,346,21952.605039,collision
-5.117056,174,21992.888005,goal_reached
-16.261278,276,22053.703882,goal_reached
-4.963612,181,22095.387555,goal_reached
-31.303772,560,22213.46685,collision
-16.29581,277,22274.480469,goal_reached
-11.855743,191,22318.211519,collision
-3.951662,168,22357.146385,goal_reached
-29.006774,332,22429.190055,collision
-26.179652,204,22475.447968,no_progress
-29.092878,336,22547.827698,goal_reached
-13.128947,258,22605.031105,goal_reached
-32.696589,406,22692.175831,goal_reached
-29.046654,339,22765.82041,goal_reached
-14.212178,264,22824.331764,goal_reached
-7.133574,203,22870.439463,goal_reached
-42.859485,531,22982.721866,goal_reached
-29.555078,474,24573.367289,goal_reached
-13.410086,232,24625.386657,goal_reached
-10.906042,196,24670.11039,goal_reached
-13.152491,230,24721.68849,goal_reached
-15.246166,242,24775.676748,goal_reached
-12.869885,234,24828.101493,goal_reached
-11.380409,225,24878.700626,goal_reached
-9.358386,224,24929.032314,goal_reached
-4.91538,198,24974.137307,goal_reached
-24.936088,250,25029.713078,collision
-5.944026,114,25057.77681,collision
-7.956633,104,25083.789299,collision
-3.370267,44,25097.662534,collision
-35.225692,421,25187.630731,goal_reached
-11.133798,180,25229.094194,collision
-10.584289,214,25277.331767,goal_reached
-25.655309,302,25343.553986,goal_reached
-17.961417,310,25411.320105,goal_reached
-19.679113,342,25485.626229,goal_reached
-34.474764,428,25577.193115,goal_reached
-28.424911,331,30353.627374,collision
-23.540806,371,30433.568714,goal_reached
-9.682433,194,30477.916063,goal_reached
-13.980756,251,30533.770184,goal_reached
-8.772743,224,30584.113574,goal_reached
-11.23781,236,30636.857156,goal_reached
-18.301572,278,30698.068682,goal_reached
-28.674428,422,30788.415402,goal_reached
-23.449497,340,30862.122211,goal_reached
-1.431952,161,30899.806118,goal_reached
-19.53023,227,30950.742506,collision
-13.436692,264,31009.133328,goal_reached
-9.373253,131,31040.721653,collision
-27.042556,446,31136.082217,goal_reached
-7.888154,126,31166.698067,collision
-21.997018,287,31229.729593,collision
-12.811177,246,31284.560627,goal_reached
-9.264471,123,31314.544788,collision
-5.870401,207,31361.401345,goal_reached
-3.91461,49,31376.414247,collision
-2.620396,169,31415.615142,goal_reached
-11.403288,179,32640.779352,collision
-7.751957,88,32663.75087,collision
-2.880585,185,32706.199711,goal_reached
-10.379656,170,32745.621508,collision
-12.50211,253,32801.716775,goal_reached
-14.619903,291,32865.696749,goal_reached
-26.586313,340,32939.517763,goal_reached
-7.951937,225,32990.13595,goal_reached
-22.918899,344,33064.821925,goal_reached
-19.744747,213,33112.989717,collision
-18.991188,258,33170.115266,collision
-1.136529,161,33207.658936,goal_reached
-22.810266,376,33288.808612,goal_reached
-31.958615,361,33366.911045,collision
-7.84028,88,33389.727631,collision
-16.686945,376,33470.815078,no_progress
-15.27182,238,33524.0198,collision
-19.038774,224,33574.291268,collision
-26.060302,351,33650.226447,goal_reached
-6.392948,193,33694.379457,goal_reached
-44.178428,506,34645.363365,goal_reached
-19.101661,288,34708.698601,goal_reached
-25.976517,318,34777.991645,collision
-6.450864,196,34822.669996,goal_reached
-16.304306,261,34880.591408,goal_reached
-7.748482,190,34924.147838,goal_reached
-0.850077,165,34962.591778,goal_reached
-3.843788,178,35003.69678,goal_reached
-3.753368,174,35043.990643,goal_reached
-14.833162,285,35106.670023,goal_reached
-4.414535,177,35147.591892,goal_reached
-4.12995,188,35190.684383,goal_reached
-20.239734,299,35256.125358,goal_reached
-13.700372,244,35310.702584,collision
-13.40937,255,35367.224837,goal_reached
-9.815681,194,35411.567265,goal_reached
-17.08113,232,35463.53722,goal_reached
-1.284408,158,35500.564816,goal_reached
-16.7705,306,35567.504743,goal_reached
-16.803543,200,35613.012455,collision
-7.684312,201,35658.598757,goal_reached
-39.713797,497,36944.518848,goal_reached
-19.256397,236,36997.20579,goal_reached
-75.849776,690,37141.690012,goal_reached
-11.502946,245,37196.379687,goal_reached
-5.058786,126,37226.996638,collision
-22.151301,209,37274.338758,collision
-16.221105,205,37320.75133,collision
-4.33221,61,37338.109605,collision
-19.927956,282,37400.310402,goal_reached
-12.161914,253,37456.585924,goal_reached
-47.354807,490,37560.731262,goal_reached
-6.694617,115,37589.133322,collision
-3.121469,158,37626.254699,goal_reached
-16.990398,305,37692.991326,goal_reached
-6.603681,182,37734.91411,goal_reached
-5.210641,177,37775.812022,goal_reached
-8.575356,90,37799.133954,collision
-13.845101,210,37846.606722,goal_reached
-21.938934,266,37905.480377,goal_reached
-55.870549,762,39258.782257,goal_reached
-7.114894,201,39304.502246,goal_reached
-17.16958,388,39388.076663,goal_reached
-11.219572,121,39417.685127,collision
-10.895182,236,39470.42535,goal_reached
-8.593076,82,39492.155183,collision
-12.722865,201,39537.854977,goal_reached
-11.320186,196,39582.60499,goal_reached
-5.57177,139,39615.855185,collision
-26.737183,268,39675.096708,collision
-5.255106,114,39703.185481,collision
-9.795836,133,39735.104617,collision
-4.692958,205,39781.609517,goal_reached
-39.694327,579,39903.553367,goal_reached
-6.623173,179,39944.903407,goal_reached
-17.310449,275,40005.622699,goal_reached
-4.230057,98,40030.583525,collision
-9.093469,218,40079.680589,goal_reached
-26.112731,316,40148.645232,goal_reached
-8.520964,153,40184.759978,collision
-23.177062,230,40236.334365,collision
-12.144782,183,40278.337945,goal_reached
-15.353506,164,41099.946164,collision
-6.475723,177,41140.851716,goal_reached
-6.191058,161,41178.512414,goal_reached
-14.680905,216,41227.323679,collision
-21.221042,301,41293.153178,goal_reached
-32.911146,400,41379.161671,goal_reached
-10.49697,117,41407.947927,collision
-5.531194,168,41446.976015,goal_reached
-5.152899,169,41486.283183,goal_reached
-12.361923,132,41518.128706,collision
-16.70446,163,41556.128474,collision
-4.568866,74,41576.164864,collision
-7.734448,190,41619.532567,goal_reached
-17.03067,216,41668.424735,collision
-18.703101,385,41751.213763,no_progress
-9.303945,206,41797.937892,goal_reached
-8.649931,185,41840.511615,collision
-5.395607,80,41861.841292,collision
-11.059035,181,41903.471236,collision
-13.452861,200,41948.841183,goal_reached
-6.30255,146,41983.495169,collision
-12.059225,222,42033.384706,goal_reached
-3.437126,118,42062.321417,collision
-19.29889,268,42121.555664,goal_reached
-7.68032,70,42140.838173,collision
-2.275538,151,42176.369425,goal_reached
-25.52703,441,43413.048733,collision
-7.002871,87,43435.683963,collision
-12.033225,176,43476.287662,goal_reached
-11.443732,187,43519.246324,goal_reached
-18.141561,234,43571.691498,goal_reached
-3.581653,40,43584.900904,collision
-19.863211,246,43639.599396,goal_reached
-12.009559,107,43666.411012,collision
-4.986765,70,43685.623089,collision
-12.890079,116,43714.124748,collision
-41.872396,366,43793.299369,goal_reached
-4.920764,91,43816.856623,collision
-12.372792,212,43864.791938,goal_reached
-18.966459,216,43913.520456,goal_reached
-18.118615,242,43967.581672,goal_reached
-10.942562,134,43999.763933,collision
-14.024419,149,44034.956251,collision
-14.884896,135,44067.286451,collision
-12.160633,199,44112.532502,goal_reached
-13.915241,220,44162.152251,goal_reached
-14.736059,174,44202.515818,goal_reached
-18.122398,213,44250.693702,goal_reached
-4.578146,195,44295.247249,goal_reached
-27.90543,292,44359.381356,goal_reached
-10.054382,87,44382.095618,collision
-20.736724,279,44443.426537,goal_reached
-9.188117,188,44486.551051,goal_reached
-3.624114,41,44500.068187,collision
-3.72602,38,44512.785249,collision
-16.85974,276,45050.276594,collision
-2.953764,126,45080.796551,collision
-4.298201,70,45099.972488,collision
