#{"t_start": 1752266528.872597, "env_id": "None"}
r,l,t,reason
-1.144358,56,16.560553,collision
-1.672173,126,47.015439,collision
0.664324,297,111.925488,goal_reached
1.701011,223,162.23132,goal_reached
-0.810471,314,230.718418,goal_reached
3.766049,215,279.22534,goal_reached
2.894652,239,332.762829,goal_reached
2.579015,263,390.91634,goal_reached
-1.831824,246,445.618949,collision
4.053197,203,491.608993,goal_reached
2.687118,110,518.881058,goal_reached
-2.245024,149,554.193296,collision
2.015574,204,600.34683,goal_reached
-0.434278,152,636.178207,collision
0.210579,322,706.130404,goal_reached
1.431957,267,765.040394,goal_reached
3.373729,262,823.058012,goal_reached
0.589978,355,899.721545,goal_reached
2.670847,178,940.76947,goal_reached
3.779941,189,984.073005,goal_reached
2.607923,222,1034.0735,goal_reached
1.347921,324,1104.618132,goal_reached
2.457954,248,2322.878927,goal_reached
0.990709,259,2380.555239,goal_reached
-1.356533,141,2414.286046,collision
3.389902,144,2448.514928,goal_reached
4.076987,175,2489.093298,goal_reached
-2.415375,271,2549.123904,collision
3.030835,218,2598.293622,goal_reached
3.794157,204,2644.789208,goal_reached
1.82649,240,2698.527481,goal_reached
-0.602641,82,2720.354455,collision
1.753438,289,2783.89267,goal_reached
-0.240731,323,2854.355414,goal_reached
-0.04999,123,2884.442163,collision
1.654247,143,2918.402622,goal_reached
2.409994,269,2977.992546,goal_reached
4.115914,163,3016.126483,goal_reached
0.176988,285,3078.988916,collision
2.047077,193,3123.130868,goal_reached
1.628472,240,3176.898382,goal_reached
0.665029,261,3234.85249,goal_reached
3.451296,200,3280.528069,goal_reached
2.910292,176,3321.337902,goal_reached
1.052451,257,3378.510615,collision
-4.620992,344,4097.056634,collision
1.731222,170,4136.589323,goal_reached
-2.052363,125,4167.089275,collision
2.805378,137,4199.898313,goal_reached
-2.825943,174,4240.395897,collision
1.475808,318,4309.831686,goal_reached
-2.991673,167,4348.913669,collision
2.174642,252,4404.945232,goal_reached
2.064409,215,4453.708132,goal_reached
3.487636,142,4487.631884,goal_reached
4.192494,186,4530.550426,goal_reached
3.087037,106,4557.199476,goal_reached
-1.169709,207,4604.361059,collision
3.404995,133,4636.304087,goal_reached
-5.054323,246,4691.365057,collision
-0.101996,268,4750.665175,goal_reached
3.575238,157,4787.7058,goal_reached
3.003434,131,4819.368612,goal_reached
2.076776,171,4859.095623,goal_reached
-1.953927,166,4897.78705,collision
-2.423225,340,4971.524444,goal_reached
1.281315,218,5020.808242,goal_reached
0.669916,209,5068.311813,goal_reached
2.174022,194,5112.78327,goal_reached
-1.090605,304,5179.56708,goal_reached
4.082743,233,5940.082713,goal_reached
-0.259097,105,5966.489316,collision
-3.359701,90,5989.76814,collision
1.819397,177,6030.650178,goal_reached
-0.598245,122,6060.501539,collision
-0.908771,202,6106.492064,collision
-0.715016,121,6136.051471,collision
-1.080348,68,6154.873039,collision
-2.881786,145,6189.273569,collision
2.405975,323,6259.697983,goal_reached
2.828186,111,6287.341917,goal_reached
3.200373,165,6325.974842,goal_reached
-1.348907,174,6366.357829,collision
-3.180299,156,6403.052665,collision
3.274,191,6446.818913,goal_reached
-0.176039,132,6478.657976,collision
-1.152311,161,6516.285161,collision
2.887785,126,6546.801247,goal_reached
3.314639,156,6583.583292,goal_reached
3.169835,236,6636.543208,goal_reached
-0.698484,343,6711.088839,goal_reached
-2.307575,223,6761.402182,collision
-0.952404,285,6824.194463,goal_reached
1.1298,265,6882.922496,goal_reached
3.92849,159,6920.301061,goal_reached
-1.175969,49,6935.369068,collision
2.993975,99,6960.489307,goal_reached
3.952853,224,7011.007148,goal_reached
1.567316,192,7055.12056,goal_reached
-2.386047,152,7859.764005,collision
3.029187,195,7904.437298,goal_reached
2.47383,243,7958.933601,goal_reached
2.307313,168,7998.109223,goal_reached
0.715266,163,8036.312334,goal_reached
3.069306,109,8063.56517,goal_reached
1.86131,329,8135.247111,goal_reached
3.157883,173,8175.407893,goal_reached
2.827654,221,8225.102078,goal_reached
-0.915969,258,8282.458393,goal_reached
3.161731,106,8309.126822,goal_reached
-1.240578,53,8324.982459,collision
2.595835,183,8367.118317,goal_reached
-7.016188,277,8428.37136,collision
-4.288805,324,8499.178094,no_progress
-0.130665,124,8529.424592,collision
3.165479,120,8558.74918,goal_reached
-0.246822,284,8621.481174,goal_reached
-1.353564,122,8651.331036,collision
3.583216,214,8699.718626,goal_reached
-2.25014,175,8740.364521,collision
0.214432,274,8800.825072,goal_reached
4.152008,195,8845.366501,goal_reached
1.865722,196,8890.171083,goal_reached
1.530736,202,8936.240595,goal_reached
-2.480798,460,9758.123693,goal_reached
-2.783064,106,9784.768767,collision
3.708572,305,9851.698869,goal_reached
-3.462698,148,9886.907856,collision
2.858575,153,9922.981918,goal_reached
1.351401,398,10008.718181,goal_reached
1.342817,212,10056.79287,goal_reached
0.824227,309,10124.531289,goal_reached
4.024857,177,10165.48686,goal_reached
2.363744,148,10200.634963,goal_reached
3.928569,256,10257.580818,goal_reached
3.537394,146,10292.314759,goal_reached
2.177052,210,10339.989419,goal_reached
3.916477,175,10380.642187,goal_reached
-1.218752,41,10394.077015,collision
-2.335946,132,10425.849803,collision
3.05998,112,10453.580578,goal_reached
-3.777864,126,10484.249428,collision
2.850984,240,10537.871205,goal_reached
3.214876,160,10575.443687,goal_reached
-1.827167,147,10610.340757,collision
3.158685,156,10646.988092,goal_reached
-0.832827,236,10699.938056,goal_reached
-1.312619,162,10737.776987,collision
3.856434,156,10774.456007,goal_reached
2.147765,165,10813.071661,goal_reached
1.131256,335,11495.259401,goal_reached
-1.745652,70,11514.636194,collision
3.083647,157,11551.405223,goal_reached
0.846583,271,11611.386454,goal_reached
1.030681,225,11662.108551,goal_reached
-1.530214,94,11686.241235,collision
3.985352,173,11726.310296,goal_reached
1.25094,147,11761.17813,goal_reached
-1.704624,172,11801.097558,collision
3.051601,173,11841.152105,goal_reached
-1.076905,147,11876.076632,collision
-4.540095,547,11991.906521,no_progress
3.461944,138,12025.011619,goal_reached
-0.236747,176,12065.802762,collision
3.629248,147,12100.622381,goal_reached
3.216508,167,12139.554705,goal_reached
-2.663763,353,12216.270227,collision
-1.717542,215,12264.962508,collision
2.888925,204,12311.340428,goal_reached
3.53853,154,12347.745929,goal_reached
3.591979,192,12391.798759,goal_reached
2.932873,107,12418.559906,goal_reached
1.875064,329,12490.482373,goal_reached
0.12963,109,12517.762521,collision
2.810787,217,12566.722783,goal_reached
2.946113,433,13154.607546,goal_reached
3.0285,209,13202.100554,goal_reached
-0.401466,157,13239.091423,collision
1.555506,176,13279.845664,goal_reached
1.448763,226,13330.839746,goal_reached
3.725966,215,13379.476329,goal_reached
2.733004,189,13422.972033,goal_reached
-1.299024,143,13457.097994,collision
0.33276,258,13514.414238,goal_reached
-1.040937,66,13532.92318,collision
2.921474,190,13576.509069,goal_reached
3.511959,196,13621.380279,goal_reached
-0.64173,299,13687.02288,goal_reached
0.417824,280,13748.85868,goal_reached
-2.969144,138,13781.920185,collision
2.864564,148,13816.882602,goal_reached
-0.24865,216,13865.605123,collision
-1.17302,85,13887.934981,collision
-0.313969,113,13915.887005,collision
3.696242,198,13961.058317,goal_reached
2.883702,260,14018.966482,goal_reached
3.061611,226,14069.905265,goal_reached
1.939947,164,14108.277761,goal_reached
-1.050283,66,14126.775977,collision
1.961946,248,14182.03521,goal_reached
-2.310709,240,14235.843625,collision
0.056221,160,14849.288225,collision
-1.041597,44,14863.223482,collision
2.911606,159,14900.457622,goal_reached
1.977755,135,14932.880078,goal_reached
-0.287624,256,14989.877456,goal_reached
3.694024,162,15027.821708,goal_reached
-4.27806,360,15105.804459,no_progress
-1.035769,110,15133.283274,collision
0.375486,229,15184.706636,goal_reached
0.611645,125,15215.220783,collision
0.322519,294,15279.860493,goal_reached
2.761031,106,15306.628633,goal_reached
0.744769,407,15394.180323,goal_reached
-4.014275,294,15458.761081,collision
-1.843929,85,15481.078431,collision
4.130475,193,15525.276124,goal_reached
3.964698,158,15562.501081,goal_reached
2.55855,194,15606.95521,goal_reached
3.53831,143,15641.068444,goal_reached
0.423399,212,15689.20374,collision
-1.402776,162,15727.064613,collision
-0.862147,43,15740.839593,collision
-1.586153,103,15766.742496,collision
-1.502979,143,15800.830216,collision
-0.786517,205,15847.457802,collision
0.299914,317,15916.745286,goal_reached
2.818674,114,15945.018125,goal_reached
-1.490703,72,15964.834459,collision
-0.086415,116,16464.781224,collision
-0.212338,190,16508.426442,collision
-0.991518,102,16534.084654,collision
3.585265,164,16572.324201,goal_reached
1.304511,256,16629.286047,goal_reached
3.549145,125,16659.760993,goal_reached
3.868836,123,16689.872151,goal_reached
-1.201509,333,16762.478173,goal_reached
2.188805,168,16801.721582,goal_reached
1.938196,308,16869.349918,goal_reached
3.017599,186,16912.282717,goal_reached
-1.855615,79,16933.402084,collision
1.208493,158,16970.438737,goal_reached
-2.320361,113,16998.544812,collision
2.874554,128,17029.483086,goal_reached
2.920091,102,17055.2816,goal_reached
3.420342,138,17088.387292,goal_reached
1.267949,180,17130.063221,goal_reached
-0.972965,111,17157.745338,collision
-0.041189,78,17178.611647,collision
-3.263231,144,17212.936172,collision
0.804968,211,17260.686957,collision
-2.025458,299,17326.296048,collision
2.8037,241,17380.156086,goal_reached
-1.195289,51,17395.685895,collision
-0.26913,149,17430.948644,collision
3.517126,146,17465.561541,goal_reached
-1.014394,82,17487.37984,collision
-1.259076,100,17512.663474,collision
-1.39849,88,17535.540887,collision
0.674703,306,17602.569743,goal_reached
-1.192395,112,18179.386744,collision
-0.358108,210,18227.133599,goal_reached
3.198763,142,18260.948835,goal_reached
-3.502044,250,18316.729652,goal_reached
-2.432341,138,18349.848303,collision
-0.512021,136,18382.44209,collision
0.248219,148,18417.574463,collision
0.560426,217,18466.530783,goal_reached
4.168903,173,18506.646617,goal_reached
-1.781232,155,18543.200934,collision
0.345536,253,18599.580318,goal_reached
3.945354,161,18637.290342,goal_reached
2.74511,102,18663.15028,goal_reached
3.256466,220,18712.982235,goal_reached
2.82846,107,18739.848034,goal_reached
-2.745532,201,18785.678168,collision
3.432746,175,18826.153959,goal_reached
3.077981,134,18858.504381,goal_reached
2.401083,203,18904.822687,goal_reached
2.429174,174,18945.224061,goal_reached
3.396218,138,18978.3927,goal_reached
2.04304,218,19027.750342,goal_reached
-1.434569,79,19048.937104,collision
1.719442,191,19092.640834,goal_reached
2.381084,158,19129.903137,goal_reached
3.40983,166,19168.679429,goal_reached
2.524351,161,19206.476635,goal_reached
1.781179,150,19241.988044,goal_reached
0.804587,159,19279.357848,goal_reached
-0.394092,130,19310.837715,collision
2.182817,310,19991.536082,goal_reached
3.925317,197,20036.611543,goal_reached
