#{"t_start": 1752340132.2750878, "env_id": "None"}
r,l,t,reason
3.939007,189,12245.399469,goal_reached
2.820259,311,12313.38473,goal_reached
2.921124,198,12358.345628,goal_reached
2.330631,170,12397.676565,goal_reached
1.782767,336,12470.648568,goal_reached
2.564099,236,12523.247478,goal_reached
1.88771,288,12586.37093,goal_reached
4.033786,163,12624.305862,goal_reached
3.070848,143,12658.433812,goal_reached
-0.855735,75,12678.622102,collision
-1.277486,123,12708.281078,collision
2.6789,151,12743.602305,goal_reached
2.280226,263,12801.6066,goal_reached
2.780755,136,12834.23825,goal_reached
-0.545969,277,12895.140312,goal_reached
1.647691,236,12947.824532,goal_reached
1.279236,255,13004.32673,goal_reached
-0.162127,133,13036.227199,collision
3.574108,248,13091.344595,goal_reached
2.594931,337,13894.220489,goal_reached
-2.485472,227,13944.866196,collision
1.789059,187,13987.502408,goal_reached
2.952366,221,14037.196315,goal_reached
-0.548062,228,14088.319493,collision
2.74991,152,14123.899487,goal_reached
-0.448014,259,14181.266342,collision
3.213354,178,14222.4193,goal_reached
4.035236,165,14260.765631,goal_reached
0.616022,357,14338.026499,goal_reached
1.653567,232,14390.0975,goal_reached
3.788542,158,14426.948131,goal_reached
0.511474,176,14467.392002,goal_reached
3.160574,179,14508.588462,goal_reached
-5.191205,700,14654.707829,goal_reached
-1.235663,93,14678.548489,collision
3.797369,217,14727.282178,goal_reached
1.625816,132,14758.994555,goal_reached
0.438203,284,14821.382701,goal_reached
-1.642619,164,14859.454525,collision
3.14019,199,14904.516444,goal_reached
0.168346,162,14942.175743,collision
3.50692,123,18547.624189,goal_reached
2.31945,299,18612.976268,goal_reached
-0.992218,84,18634.899145,collision
2.982722,194,18678.815513,goal_reached
1.018959,220,18728.07579,goal_reached
-1.750488,70,18747.256176,collision
3.074595,144,18781.266768,goal_reached
3.707664,167,18820.027364,goal_reached
0.333695,308,18887.344865,goal_reached
-1.342544,74,18907.351456,collision
0.194182,125,18937.48783,collision
3.06479,182,18979.201002,goal_reached
-0.875058,131,19010.755229,collision
-2.049469,100,19035.935433,collision
0.699586,209,19083.167624,goal_reached
1.058717,320,19152.584914,goal_reached
3.51424,243,19206.81967,goal_reached
-4.96546,261,19264.611069,collision
3.326641,144,19298.805672,goal_reached
2.67086,215,19347.105729,goal_reached
2.666667,224,19397.406492,goal_reached
1.637283,197,19442.571872,goal_reached
2.965083,116,19471.215747,goal_reached
2.255677,215,19519.523227,goal_reached
-0.26483,131,19550.990978,collision
0.710037,334,19623.188263,goal_reached
-0.91868,118,19652.059201,collision
2.358214,264,20251.939655,goal_reached
3.900723,191,20295.455392,goal_reached
1.458687,261,20353.262856,goal_reached
2.587774,143,20387.206295,goal_reached
-1.892538,135,20419.443703,collision
2.056131,319,20488.715604,goal_reached
2.675755,212,20536.585638,goal_reached
4.17278,212,20584.602285,goal_reached
3.171642,101,20610.021559,goal_reached
-0.987586,37,20622.555209,collision
-0.775088,119,20651.500211,collision
3.54884,148,20686.30444,goal_reached
-1.811441,81,20707.747248,collision
1.928869,216,20756.37967,goal_reached
1.886236,254,20812.457969,goal_reached
0.681256,183,20854.489006,goal_reached
2.775929,132,20886.295562,goal_reached
2.188273,182,20928.015642,goal_reached
1.171143,158,20964.817765,goal_reached
-2.697505,317,21033.539483,no_progress
-1.724327,125,21063.889683,collision
-1.239231,194,21107.907646,goal_reached
-0.612367,86,21130.298918,collision
3.142027,118,21159.094505,goal_reached
-0.911426,86,21181.581164,collision
-4.366637,227,21232.167186,collision
-2.284774,275,21292.550108,collision
4.263473,175,21332.774029,goal_reached
1.049017,289,22414.543167,goal_reached
1.010563,352,22490.560783,goal_reached
2.972129,152,22526.220049,goal_reached
2.165018,241,22579.911477,goal_reached
4.052244,159,22617.199425,goal_reached
1.630818,284,22679.43503,goal_reached
2.194924,220,22728.991504,goal_reached
2.679653,198,22774.147412,goal_reached
3.790425,193,22818.020519,goal_reached
-1.498289,112,22845.682072,collision
2.899729,104,22871.70736,goal_reached
2.668027,160,22908.887707,goal_reached
4.274827,170,22948.247359,goal_reached
3.583843,139,22981.459275,goal_reached
3.538542,138,23014.367508,goal_reached
0.216519,134,23046.305521,collision
3.091743,170,23085.585828,goal_reached
1.936303,209,23132.905683,goal_reached
2.668581,121,23162.305936,goal_reached
0.811877,362,23240.424468,goal_reached
2.930865,234,23292.688487,goal_reached
0.498354,214,23340.982833,goal_reached
3.538732,236,23393.792319,goal_reached
3.308925,156,23430.208399,goal_reached
-2.401898,544,25283.38932,goal_reached
-0.204884,107,25309.999343,collision
3.777239,143,25343.861845,goal_reached
2.982949,120,25373.218731,goal_reached
1.376187,398,25458.429544,goal_reached
-2.735434,418,25548.074335,collision
3.10248,167,25586.682744,goal_reached
3.186245,249,25641.801266,goal_reached
-0.90141,49,25656.743121,collision
3.433785,209,25703.879688,goal_reached
2.027419,158,25740.73785,goal_reached
3.45805,202,25786.555029,goal_reached
4.120042,186,25829.138596,goal_reached
3.632721,241,25882.869721,goal_reached
4.262778,169,25922.210506,goal_reached
2.906185,110,25949.439608,goal_reached
-0.868887,75,25969.585236,collision
-0.992602,54,25985.409981,collision
4.246331,164,26023.404469,goal_reached
3.487257,133,26055.346421,goal_reached
3.070377,113,26083.173911,goal_reached
1.541022,151,26118.747758,goal_reached
3.65392,166,26157.34624,goal_reached
-1.490746,181,26198.959204,collision
3.832847,257,26255.699609,goal_reached
3.722179,150,26291.09555,goal_reached
-0.699906,45,26305.375301,collision
3.779738,197,26350.162543,goal_reached
1.635284,343,27034.919706,goal_reached
-0.952302,96,27059.475754,collision
-0.970924,108,27086.186603,collision
0.86734,275,27146.549175,goal_reached
3.172992,115,27174.897837,goal_reached
2.296863,252,27230.637009,goal_reached
3.497196,221,27280.256093,goal_reached
-2.305056,238,27333.431814,collision
4.178623,162,27371.016198,goal_reached
0.281577,170,27410.392346,collision
-0.380192,80,27431.472213,collision
-1.153443,58,27448.131211,collision
3.886369,166,27486.664813,goal_reached
3.241599,163,27524.478501,goal_reached
3.879228,123,27554.371465,goal_reached
3.369632,192,27598.133539,goal_reached
2.928444,120,27627.559991,goal_reached
4.034021,168,27666.48108,goal_reached
3.355573,190,27709.748086,goal_reached
2.271255,144,27743.871463,goal_reached
-1.062523,43,27757.630534,collision
2.614263,198,27802.639247,goal_reached
3.20849,186,27845.074327,goal_reached
3.304797,160,27882.33336,goal_reached
-1.770742,214,27930.573714,collision
0.123179,142,27964.259744,collision
1.229277,226,28014.992335,collision
2.987294,279,28076.061531,goal_reached
-1.059915,287,28139.048183,collision
-0.898964,181,28743.522046,collision
-4.749189,158,28780.452389,collision
-0.537278,80,28801.003401,collision
0.18785,362,28878.722657,goal_reached
3.638614,136,28911.1183,goal_reached
-2.758854,255,28967.652264,collision
0.223408,206,29013.997421,goal_reached
-1.391001,144,29047.98517,collision
-1.85105,347,29122.820207,collision
-0.925354,283,29184.817444,collision
3.978262,191,29228.29726,goal_reached
0.701087,306,29295.184264,goal_reached
2.532455,233,29347.11743,goal_reached
-1.050219,36,29359.476077,collision
3.359866,189,29402.599603,goal_reached
1.404807,246,29457.116189,goal_reached
4.250734,161,29494.544806,goal_reached
1.401574,298,29559.605866,goal_reached
2.67805,133,29591.33873,goal_reached
-0.690887,751,29747.690508,goal_reached
-0.510996,115,29776.087286,collision
4.091217,142,29809.660943,goal_reached
-1.772707,384,30798.395577,goal_reached
-1.168964,44,30812.322277,collision
1.82942,195,30856.592888,goal_reached
3.845608,225,30907.27701,goal_reached
2.322486,280,30968.744787,goal_reached
3.494476,144,31002.807091,goal_reached
-0.529911,117,31031.473013,collision
1.826389,139,31064.497156,goal_reached
-1.31383,125,31094.823262,collision
3.54198,151,31130.462331,goal_reached
3.827835,181,31172.025615,goal_reached
3.617856,233,31224.073492,goal_reached
3.074046,112,31251.784357,goal_reached
2.738216,127,31282.411538,goal_reached
0.132471,120,31311.700431,collision
-1.110745,87,31334.232215,collision
2.453675,287,31397.148305,goal_reached
2.829384,196,31441.576515,goal_reached
4.107128,208,31488.578664,goal_reached
4.12409,165,31527.051733,goal_reached
-0.900928,52,31542.631109,collision
3.291809,198,31587.607046,goal_reached
3.367679,166,31626.0687,goal_reached
3.019329,109,31653.100779,goal_reached
-0.706636,53,31668.892146,collision
0.306136,96,31693.239243,collision
2.60737,140,31726.559364,goal_reached
0.820191,290,31790.061984,goal_reached
2.469132,162,31827.726543,goal_reached
1.011538,235,31880.354294,collision
3.154554,103,31906.277532,goal_reached
1.529286,162,32625.708344,goal_reached
-1.473565,125,32655.980272,collision
3.008481,168,32694.869514,goal_reached
3.857153,166,32733.424394,goal_reached
1.560183,181,32774.983728,goal_reached
-0.947143,146,32809.385372,collision
-1.253557,103,32835.126931,collision
0.395373,147,32869.751252,collision
-4.236399,191,32913.346473,collision
0.098795,268,32972.332767,collision
-1.142941,225,33022.688792,collision
3.959181,163,33060.42451,goal_reached
3.412458,135,33092.638558,goal_reached
3.313824,193,33136.628876,goal_reached
-0.807475,171,33176.265922,collision
-1.141221,294,33240.287368,collision
1.328364,134,33272.310273,goal_reached
-2.516014,153,33308.17177,collision
3.673096,199,33353.245436,goal_reached
3.26419,142,33386.968637,goal_reached
1.207414,207,33433.869521,goal_reached
2.839285,263,33491.859748,goal_reached
