step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,0,-29.888103549729795,"[0.0017901879284113725, 0.001632380639052621, -0.00037700594315631897, 2.4177188873291016, 2.4178223609924316, 2.4190943241119385, -1.5631468899558416, -1.5697009649661386, -1.5565928149455446, 15.099821628070407, -0.3431632005029739, 0.0, 0.0]",0.0,0.0,2.4177188873291016,15.099821628070407
1,3,0.00986323178750001,"[-0.009815669194727665, -0.0113105018571801, 0.00026787401311147624, 2.4186973571777344, 2.418949842453003, 2.419067621231079, -1.5434846649249505, -1.5565928149455446, -1.5500387399352475, 15.12306668836445, -0.3432332381220715, 0.0, 0.0]",0.0,0.0,2.4186973571777344,15.12306668836445
2,3,0.009475922687858976,"[0.0022317272909375845, -0.0014681796222324342, -0.003989772231845122, 2.418471574783325, 2.419098377227783, 2.419471263885498, -1.5434846649249505, -1.5828091149867327, -1.5500387399352475, 15.146603526181412, -0.3422520083910805, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.418471574783325,15.146603526181412
3,0,-0.018825059742835187,"[-0.004105185609820229, -0.007028324122525459, -0.006781965609299086, 2.418884754180908, 2.4198057651519775, 2.420153856277466, -1.5565928149455446, -1.5762550399764357, -1.5303765149043564, 15.164064397984225, -0.33851658068604706, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.418884754180908,15.164064397984225
4,0,-0.043427222763520706,"[0.0003404413357680047, 0.006573136559828398, 0.005151853500713022, 2.4188506603240967, 2.419147491455078, 2.41963791847229, -1.5238224398940594, -1.5697009649661386, -1.5500387399352475, 15.17405936584895, -0.33218643517034385, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.4188506603240967,15.17405936584895
5,0,-0.06765780919031955,"[-0.014415062194295345, -0.012012933482330958, -0.014960063751442652, 2.420351505279541, 2.420398235321045, 2.4211955070495605, -1.5500387399352475, -1.5369305899146535, -1.5434846649249505, 15.17630306381943, -0.3308520662468015, 0.5, -0.23578946292400357]",0.5,-0.23578946292400357,2.420351505279541,15.17630306381943
6,0,-0.01855303741382315,"[0.005947122891290127, -0.003101289697224358, 0.0024805542689885357, 2.419757604598999, 2.420707941055298, 2.420947790145874, -1.5500387399352475, -1.5762550399764357, -1.5565928149455446, 15.17119672035141, -0.3308286217493146, 0.5, -0.23578946292400357]",0.5,-0.23578946292400357,2.419757604598999,15.17119672035141
7,0,0.03665371003990005,"[0.004744858763394535, -0.004856942041269997, -0.008357209406589095, 2.4192731380462646, 2.421203851699829, 2.4218010902404785, -1.5434846649249505, -1.5565928149455446, -1.5369305899146535, 15.15847391622568, -0.3309594910578144, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.4192731380462646,15.15847391622568
8,0,0.10108429152342448,"[-0.01862517204095603, -0.004924785750050191, -0.0016786843371978549, 2.4211089611053467, 2.42168927192688, 2.421966552734375, -1.5369305899146535, -1.5500387399352475, -1.5238224398940594, 15.137407896024094, -0.3302387443987329, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.4211089611053467,15.137407896024094
9,0,0.10701700047392922,"[-0.0026340933716158064, 0.0022144403322134684, 0.0049386287066388165, 2.4213738441467285, 2.421466588973999, 2.4214699268341064, -1.5631468899558416, -1.5369305899146535, -1.5434846649249505, 15.113781786423907, -0.3261760936322222, 0.5, -0.37052631378173834]",0.5,-0.37052631378173834,2.4213738441467285,15.113781786423907
10,0,-8.899309587207524,"[21.04188995561502, 20.98918427476461, 20.96931244795855, 0.3066064715385437, 0.3119962811470032, 0.3139967918395996, 1.9498373155633661, 1.9760536156045543, 2.0022699156457424, 15.0948144088434, -0.3112217118426903, 0.5, -0.37052631378173834]",0.5,-0.37052631378173834,0.3066064715385437,15.0948144088434
