step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,11,-8.200793776658701,"[-0.0027176032065378435, -0.0023199051763127935, -0.0017307662315382336, 2.4245235919952393, 2.4245259761810303, 2.424535036087036, 1.5434846649249505, -1.5959172650073268, -1.5828091149867327, 15.151614942678288, -1.6062821364126485, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.4245235919952393,15.151614942678288
1,11,-0.19760932972720546,"[0.026708038788762385, 0.010632379600410524, 0.005548788090967513, 2.421868085861206, 2.423468828201294, 2.423983335494995, -1.5828091149867327, -1.5762550399764357, -1.5959172650073268, 15.15239779890616, -1.6052180863573096, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.421868085861206,15.15239779890616
2,11,-0.19571762112889213,"[0.04351033676900706, 0.05423382730563376, 0.05671122491962142, 2.417509078979492, 2.4180355072021484, 2.418301820755005, -1.5565928149455446, -1.5697009649661386, -1.5828091149867327, 15.153183851552399, -1.5957275791820695, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.417509078979492,15.153183851552399
3,11,-0.1899142394593436,"[0.30047836526275523, 0.30402462797653335, 0.30419053500407855, 2.3864190578460693, 2.3865785598754883, 2.3868277072906494, -1.5238224398940594, -1.4976061398528713, -1.5500387399352475, 15.153514691852799, -1.571262794292719, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.3864190578460693,15.153514691852799
4,11,-0.16156808149691793,"[0.6879642176201839, 0.6776755842816543, 0.6772582830693223, 2.3180270195007324, 2.319209337234497, 2.319499969482422, -1.3992950146984158, -1.4189572397293069, -1.3796327896675247, 15.151994521020374, -1.448042115808838, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.3180270195007324,15.151994521020374
5,0,-2.176042476587037,"[21.793908136112712, 21.763306863253728, 21.75532952918084, 0.14466053247451782, 0.1488945186138153, 0.14998067915439606, 0.8684149388643565, 0.8880771638952476, 0.9077393889261387, 15.148632343810808, -1.3388341550308387, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,0.14466053247451782,15.148632343810808
6,4,-2.197322509792355,"[0.4378503515632388, 0.45049980140341583, 0.4594862968356944, 0.10050620138645172, 0.10346457362174988, 0.10364450514316559, 0.3899674631126735, 0.4096296881435646, 0.4686163632362379, 15.145471491690682, -1.2412210701630437, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,0.10050620138645172,15.145471491690682
7,13,-0.14401105065238495,"[-21.261074617773616, -21.233894906230415, -21.235001296975756, 2.2598695755004883, 2.2600674629211426, 2.260359764099121, -1.1567942393174258, -1.1633483143277228, -1.1371320142865347, 15.14168657758049, -1.1809043943638402, 0.5, -0.6399999856948854]",0.5,-0.6399999856948854,2.2598695755004883,15.14168657758049
8,6,-0.07957791748304092,"[-0.0013514418569050308, -0.0018417880173749975, -0.00434135746952678, 2.2600042819976807, 2.260251045227051, 2.2607924938201904, -1.0912534892144554, -1.1240238642659406, -1.0846994142041584, 15.131355328644755, -1.124202076772555, 0.5, -0.6399999856948854]",0.5,-0.6399999856948854,2.2600042819976807,15.131355328644755
9,0,-0.06755430651816338,"[0.0006863417982155113, 0.002147953401724291, -0.006140592898984625, 2.259932518005371, 2.260026454925537, 2.261434555053711, -1.0453749641423762, -1.0322668141217821, -1.025712739111485, 15.120111273740648, -1.075212081631892, 0.0, -0.6399999856948854]",0.0,-0.6399999856948854,2.259932518005371,15.120111273740648
