step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,6,0.3838867079348105,"[0.5, 0.5, 0.5, 0.057894717901945114, 0.05821380391716957, 0.058565590530633926, 0.8749992847442627, 0.1250007152557373, 0.12604382634162903, 0.337994247674942, 0.08092524111270905, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.8398383855819702,6.967930097515499
1,2,0.0,"[0.5, 0.5, 0.5, 0.057894717901945114, 0.05821380391716957, 0.058565590530633926, 0.8749992847442627, 0.1250007152557373, 0.12604382634162903, 0.337994247674942, 0.08092524111270905, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.8398383855819702,6.967930097515499
2,2,-0.06294763265205075,"[0.5, 0.5, 0.5, 0.006524058990180492, 0.006651418749243021, 0.007780203130096197, 0.207406684756279, 0.20636357367038727, 0.8551801443099976, 0.33983057737350464, 0.08612951636314392, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,0.38945215940475464,7.005787069366023
3,3,-0.006113030754686966,"[0.0, 0.0, 0.0, 0.05921255052089691, 0.059648897498846054, 0.05997556447982788, 0.1250007152557373, 0.12708695232868195, 0.12604382634162903, 0.34576109051704407, 0.09030701220035553, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.8576850891113281,7.128047684459762
4,4,-0.004798099202469475,"[0.0, 0.0, 0.0, 0.06179382652044296, 0.06240719184279442, 0.06251809000968933, 0.1250007152557373, 0.12604382634162903, 0.12708695232868195, 0.3504159450531006, 0.09311819821596146, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.92487370967865,7.224009668509152
5,4,-0.004148503432639706,"[0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5631083846092224, 0.42124494910240173, 0.4389778673648834, 0.3544405698776245, 0.10505577176809311, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.9530267715454102,7.306979737161946
6,2,-0.0033981886493373195,"[0.0, 0.0, 0.0, 0.060009535402059555, 0.06010354310274124, 0.060204070061445236, 0.12813006341457367, 0.1250007152557373, 0.12604382634162903, 0.35773730278015137, 0.12096414715051651, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.898608684539795,7.374943510148692
7,4,-0.00426132091881466,"[0.0, 0.0, 0.0, 0.06004539132118225, 0.06014645844697952, 0.060696687549352646, 0.1250007152557373, 0.12604382634162903, 0.12813006341457367, 0.3618713915348053, 0.13211078941822052, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.8953572511672974,7.460169928524985
8,4,-0.003911395966549147,"[0.0, 0.0, 0.0, 0.0612623356282711, 0.06127503886818886, 0.06135280057787895, 0.12604382634162903, 0.1250007152557373, 0.1291731745004654, 0.365666002035141, 0.14668314158916473, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.9274858236312866,7.538397847855968
9,6,-0.002851607870817752,"[0.5, 0.5, 0.5, 0.06298204511404037, 0.06337027996778488, 0.06338702887296677, 0.12604382634162903, 0.12813006341457367, 0.12708695232868195, 0.3684324622154236, 0.15921974182128906, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.9815096855163574,7.595430005272323
10,6,-0.00234635954276623,"[0.5, 0.5, 0.5, 0.06138197332620621, 0.06144019588828087, 0.06155434250831604, 0.3597012460231781, 0.363873690366745, 0.3492701053619385, 0.37070876359939575, 0.167387917637825, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.967839002609253,7.642357196127648
11,2,-0.002429518622671223,"[0.5, 0.5, 0.5, 0.05851994827389717, 0.05880237743258476, 0.05882345512509346, 0.3555288016796112, 0.363873690366745, 0.34405454993247986, 0.3730657696723938, 0.16793878376483917, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.8773363828659058,7.690947568581072
12,2,-0.0030529393311244934,"[0.5, 0.5, 0.5, 0.055467162281274796, 0.05550102889537811, 0.05552516132593155, 0.369089275598526, 0.33883896470069885, 0.36283057928085327, 0.37602755427360535, 0.16916827857494354, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.778609275817871,7.752006355203562
13,2,-0.0036427178800348074,"[0.5, 0.5, 0.5, 0.05292566865682602, 0.05295755714178085, 0.05322365462779999, 0.37221860885620117, 0.35239943861961365, 0.36178746819496155, 0.37956148386001587, 0.17347531020641327, 0.75, 0.3989473581314087]",0.5,-0.30315789580345154,1.7120280265808105,7.824860712804258
