step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,14,-0.01,"[21.229145050048828, 21.237789154052734, 21.234020233154297, 0.29254913330078125, 0.29256826639175415, 0.29299840331077576, -1.812201738357544, -1.7859854698181152, -1.7990936040878296, 14.87543773651123, 0.18477405607700348, 0.5, 0.5052631497383118]",0.5,0.5052631497383119,0.29254913330078125,14.875438098716987
1,13,-0.01,"[0.06872330605983734, 0.06829670816659927, 0.06925634294748306, 0.28533318638801575, 0.28539711236953735, 0.28572648763656616, -1.6024713516235352, -1.6417957544326782, -1.6221336126327515, 14.840825080871582, 0.11207057535648346, 0.5, 0.5052631497383118]",0.5,0.5052631497383119,0.28533318638801575,14.840825421956156
2,14,-0.01,"[-0.0063672661781311035, -0.008616447448730469, -0.005552768707275391, 0.28596991300582886, 0.2862587571144104, 0.2862817645072937, 1.6549038887023926, 1.6352417469024658, 1.6417957544326782, 14.778980255126953, 0.026402167975902557, 0.5, 0.5052631497383118]",0.5,0.5052631497383119,0.28596991300582886,14.778980431005653
3,7,-0.01,"[-19.458730697631836, -19.46065330505371, -19.46368980407715, 2.2318429946899414, 2.2323241233825684, 2.2326507568359375, 1.2616593837738037, 1.3009839057922363, 1.2485512495040894, 14.706390380859375, -0.05269473418593407, 0.0, 0.0]",0.0,0.0,2.2318429946899414,14.706390064975336
4,4,-0.01,"[0.4893684387207031, 0.4915046691894531, 0.49030303955078125, 2.182906150817871, 2.183173656463623, 2.1836204528808594, 1.196118712425232, 1.2092268466949463, 1.2288891077041626, 14.638359069824219, -0.12413384020328522, 0.0, 0.0]",0.0,0.0,2.182906150817871,14.638359250281624
5,14,-0.01,"[20.819103240966797, 20.80109405517578, 20.79157066345215, 0.10099584609270096, 0.10306420922279358, 0.1044633761048317, 0.39652153849601746, 0.45550820231437683, 0.4948326647281647, 14.560758590698242, -0.22004000842571259, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,0.10099584609270096,14.560758963108313
6,13,-0.01,"[-20.267118453979492, -20.249345779418945, -20.238170623779297, 2.1277077198028564, 2.1279988288879395, 2.1282804012298584, 1.0912535190582275, 1.0322668552398682, 1.0715912580490112, 14.497417449951172, -0.28698301315307617, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,2.1277077198028564,14.497417125816732
7,0,-0.01,"[0.29660922288894653, 0.29680752754211426, 0.2938898503780365, 2.097750186920166, 2.0980212688446045, 2.098597526550293, 0.9863882660865784, 0.9798341989517212, 0.9994964599609375, 14.434247016906738, -0.36325740814208984, 0.5, -0.2357894629240036]",0.5,-0.23578946292400357,2.097750186920166,14.434246560782483
8,14,-0.01,"[0.3270818591117859, 0.32505640387535095, 0.31771790981292725, 2.062098264694214, 2.0625901222229004, 2.0639662742614746, 0.9142934679985046, 0.9208475351333618, 0.9339556694030762, 14.375069618225098, -0.43330806493759155, 0.5, -0.2357894629240036]",0.5,-0.23578946292400357,2.062098264694214,14.375069882104665
9,14,-0.01,"[17.79070281982422, 17.779010772705078, 17.792510986328125, 0.2830279469490051, 0.2846890687942505, 0.2847152054309845, -1.235443115234375, -1.5828090906143188, -1.6549038887023926, 14.300500869750977, -0.5127685070037842, 0.5, -0.2357894629240036]",0.5,-0.23578946292400357,0.2830279469490051,14.300501300749056
10,13,-1.01,"[-0.5950811505317688, -0.6214815378189087, -0.6450158357620239, 0.342536062002182, 0.34683722257614136, 0.3492167890071869, 2.1595678329467773, 2.172675848007202, 2.179229974746704, 14.236641883850098, -0.5614981055259705, 0.5, -0.2357894629240036]",0.5,-0.23578946292400357,0.342536062002182,14.236641434179427
