step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,6,0.3851142816516691,"[0.5, 0.5, 0.5, 0.05757930874824524, 0.05789032205939293, 0.058432482182979584, 0.8749992847442627, 0.8739561438560486, 0.8729130625724792, 0.33743414282798767, 0.0823437049984932, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.8298580646514893,6.9563832291651
1,6,0.0,"[0.5, 0.5, 0.5, 0.05757930874824524, 0.05789032205939293, 0.058432482182979584, 0.8749992847442627, 0.8739561438560486, 0.8729130625724792, 0.33743414282798767, 0.0823437049984932, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.8298580646514893,6.9563832291651
2,6,-0.0022278291031345267,"[1.0, 1.0, 1.0, 0.005711821373552084, 0.0058492147363722324, 0.005876826122403145, 0.7717310786247253, 0.7738173007965088, 0.7832052707672119, 0.3395954668521881, 0.07367119193077087, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.7919052839279175,7.0009398112277905
3,6,-0.07460102109240951,"[0.0, 0.0, 0.0, 0.008556239306926727, 0.008966885507106781, 0.008997681550681591, 0.8562232255935669, 0.8603956699371338, 0.8583094477653503, 0.34406182169914246, 0.05095492675900459, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.3000280261039734,7.093016285283928
4,7,-0.004834524166803256,"[0.5, 0.5, 0.5, 0.052227091044187546, 0.052971795201301575, 0.053017646074295044, 0.8749992847442627, 0.8718699216842651, 0.8708268404006958, 0.3487519919872284, 0.03075222671031952, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.6784164905548096,7.189706768619993
5,6,-0.004953590182005785,"[0.0, 1.0, 1.0, 0.05253643915057182, 0.05267316848039627, 0.052805330604314804, 0.8718699216842651, 0.8749992847442627, 0.8739561438560486, 0.3535577058792114, 0.010138875804841518, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.6593208312988281,7.288778572260108
6,2,-0.0943682273349911,"[0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5829275250434875, 0.4337622821331024, 0.4275036156177521, 0.3579479157924652, 0.9952006936073303, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.10157125443220139,7.379285627824333
7,5,-0.006666652125596695,"[0.5, 0.5, 0.5, 0.055268142372369766, 0.05546187609434128, 0.05555669590830803, 0.8687406182289124, 0.8739561438560486, 0.8656112551689148, 0.3644155263900757, 0.9724032282829285, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.735069751739502,7.512618670336267
8,2,-0.005247819770237295,"[0.5, 0.5, 0.5, 0.05731626972556114, 0.05763687565922737, 0.057643525302410126, 0.8729130625724792, 0.8541370034217834, 0.8614388108253479, 0.3695066571235657, 0.9653899073600769, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.8046642541885376,7.617575065741013
9,2,-0.00612631657179894,"[0.5, 0.5, 0.5, 0.05823303759098053, 0.05843944475054741, 0.05860156938433647, 0.6361262798309326, 0.6392556428909302, 0.6350831985473633, 0.375450074672699, 0.9629899263381958, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.8732407093048096,7.740101397176992
10,2,-0.00763169224533633,"[0.5, 0.5, 0.5, 0.05356096476316452, 0.053743816912174225, 0.05387742817401886, 0.6236089468002319, 0.6152640581130981, 0.6246520280838013, 0.3828538954257965, 0.9518294334411621, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.7418943643569946,7.8927352420837185
11,2,-0.008955883054404446,"[0.5, 0.5, 0.5, 0.04941520467400551, 0.04961799830198288, 0.04973648488521576, 0.5975310802459717, 0.6183933615684509, 0.6319538354873657, 0.39154237508773804, 0.9480419158935547, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.6215851306915283,8.071852903171807
12,2,-0.009472761200074231,"[0.5, 0.5, 0.5, 0.044110264629125595, 0.04423864930868149, 0.04433763399720192, 0.6006604433059692, 0.5975310802459717, 0.6121346950531006, 0.4007323086261749, 0.9424739480018616, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.4743558168411255,8.261308127173292
13,2,-0.009259701827097011,"[0.5, 0.5, 0.5, 0.03824535384774208, 0.038339972496032715, 0.038411177694797516, 0.6006604433059692, 0.5923155546188354, 0.5839706063270569, 0.40971553325653076, 0.9341254830360413, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.2932223081588745,8.446502163715232
14,2,-0.00853961274172157,"[0.5, 0.5, 0.5, 0.032066866755485535, 0.032603152096271515, 0.03263461962342262, 0.5662376880645752, 0.5735394954681396, 0.5756257176399231, 0.418000191450119, 0.9224722981452942, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,1.1198087930679321,8.617294418549664
15,2,-0.0154189424461471,"[0.5, 0.5, 0.5, 0.02598641626536846, 0.026147479191422462, 0.02643749676644802, 0.5547634363174438, 0.57979816198349, 0.590229332447052, 0.4273567199707031, 0.9091558456420898, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.9422557353973389,8.810184738267283
16,2,-0.032707893127708054,"[0.5, 0.5, 0.5, 0.019998207688331604, 0.02022053301334381, 0.02023925632238388, 0.5599790215492249, 0.5808413028717041, 0.555806577205658, 0.4354141354560852, 0.9003976583480835, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.7559750080108643,8.976292616843173
17,2,-0.05135835281846246,"[0.5, 0.5, 0.5, 0.013399431481957436, 0.013750920072197914, 0.01381914783269167, 0.5631083846092224, 0.5735394954681396, 0.5704101324081421, 0.44347843527793884, 0.8901951313018799, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.569541335105896,9.142542343424214
18,2,-0.06910198209404336,"[0.5, 0.5, 0.5, 0.007414480671286583, 0.007497650105506182, 0.007558376993983984, 0.5265994071960449, 0.5631083846092224, 0.5589358806610107, 0.4508240818977356, 0.8811257481575012, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.38469722867012024,9.293976442645322
19,0,-0.08425746830271885,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.44002097845077515, 0.4379347562789917, 0.43480542302131653, 0.45755788683891296, 0.8673543930053711, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.22683581709861755,9.432797442896934
20,2,-0.09401277864242914,"[0.5, 0.5, 0.5, 0.0023171985521912575, 0.0024700311478227377, 0.002634692471474409, 0.4921766519546509, 0.5255562663078308, 0.47652995586395264, 0.461655855178833, 0.8422914147377014, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.1021130234003067,9.51727906254613
21,0,-0.08642378266230422,"[0.5, 0.5, 0.5, 0.0025741553399711847, 0.0026619720738381147, 0.0027382196858525276, 0.4984353184700012, 0.488004207611084, 0.4734005928039551, 0.46675676107406616, 0.8451908826828003, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.18834127485752106,9.622437265507257
22,0,-0.8858207051396868,"[1.0, 1.0, 1.0, 0.0024923381861299276, 0.0025753858499228954, 0.002643083455041051, 0.5067802667617798, 0.5265994071960449, 0.5015646815299988, 0.47107693552970886, 0.8477709293365479, 0.75, 0.5785964727401733]",0.5,0.23578946292400357,0.186324343085289,9.71150005447157
