step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,6,0.32591073594979175,"[0.5, 0.5, 0.5, 0.05729243531823158, 0.057313472032547, 0.05796171352267265, 0.1250007152557373, 0.12604382634162903, 0.1291731745004654, 0.33709198236465454, 0.08293746411800385, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.7972906827926636,6.94932935440166
1,6,0.0,"[0.5, 0.5, 0.5, 0.05729243531823158, 0.057313472032547, 0.05796171352267265, 0.1250007152557373, 0.12604382634162903, 0.1291731745004654, 0.33709198236465454, 0.08293746411800385, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.7972906827926636,6.94932935440166
2,6,-0.0023828979612470214,"[0.5, 0.5, 0.5, 0.05794420465826988, 0.05860673263669014, 0.059057023376226425, 0.1250007152557373, 0.12604382634162903, 0.12813006341457367, 0.33940374851226807, 0.08121633529663086, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.847240924835205,6.9969873136266
3,6,-0.004367449202971318,"[0.0, 0.0, 0.0, 0.0611114576458931, 0.061333902180194855, 0.06135604530572891, 0.1250007152557373, 0.12708695232868195, 0.12604382634162903, 0.3436407744884491, 0.08103117346763611, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.8809969425201416,7.0843362976860265
4,4,-0.004388346231418261,"[0.5, 0.5, 0.5, 0.06698381900787354, 0.06704220920801163, 0.06746210157871246, 0.8749992847442627, 0.12604382634162903, 0.1250007152557373, 0.34789809584617615, 0.07392340153455734, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.047001361846924,7.172103222314392
5,2,-0.004519097907272985,"[0.0, 0.0, 0.0, 0.06958386301994324, 0.07014690339565277, 0.07046034187078476, 0.8749992847442627, 0.8739561438560486, 0.8729130625724792, 0.3522822856903076, 0.06721615046262741, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.1630120277404785,7.262485180459851
6,6,-0.005791316700884197,"[0.5, 0.5, 0.5, 0.07211582362651825, 0.07328491657972336, 0.07347240298986435, 0.8749992847442627, 0.8739561438560486, 0.8718699216842651, 0.3579006791114807, 0.060180436819791794, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.225090980529785,7.378311514477535
7,6,-0.004945066297038237,"[0.5, 0.5, 0.5, 0.07619649916887283, 0.07631407678127289, 0.07637730985879898, 0.7279202938079834, 0.7341789603233337, 0.7383514046669006, 0.36269810795783997, 0.056901559233665466, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.3664441108703613,7.4772128404183
8,6,-0.09394500543273315,"[1.0, 1.0, 1.0, 0.07457230240106583, 0.07458217442035675, 0.07470612227916718, 0.4066413342952728, 0.40872758626937866, 0.41290003061294556, 0.36728736758232117, 0.04647432267665863, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,0.10785506665706635,7.571823082387096
9,2,-0.004841173822615109,"[0.5, 0.5, 0.5, 0.07194594293832779, 0.07230538129806519, 0.07236910611391068, 0.3920377492904663, 0.39412397146224976, 0.38890841603279114, 0.37198400497436523, 0.03321944177150726, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.2854740619659424,7.668646558839398
10,2,-0.00611561377649168,"[0.5, 0.5, 0.5, 0.06938882172107697, 0.06950996816158295, 0.06953993439674377, 0.3816066384315491, 0.3878653049468994, 0.38890841603279114, 0.37791702151298523, 0.028766784816980362, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.1988463401794434,7.790958834369231
11,2,-0.007742583360999067,"[0.5, 0.5, 0.5, 0.06539137661457062, 0.0656096339225769, 0.06577948480844498, 0.3743048310279846, 0.38056349754333496, 0.37221860885620117, 0.38542842864990234, 0.02701660990715027, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,2.0973081588745117,7.945810501589213
12,2,-0.009352659573603095,"[0.5, 0.5, 0.5, 0.061450857669115067, 0.06161874160170555, 0.061628308147192, 0.36700302362442017, 0.3680461645126343, 0.36178746819496155, 0.39450183510780334, 0.024067791178822517, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.9832959175109863,8.132863693061275
13,2,-0.008855918311964129,"[0.5, 0.5, 0.5, 0.057494617998600006, 0.05770399048924446, 0.05771259218454361, 0.3450976610183716, 0.3544856905937195, 0.34822699427604675, 0.4030933380126953, 0.019306901842355728, 0.75, 0.5336841940879822]",0.5,0.10105262696743013,1.863031029701233,8.309982059300557
