step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,14,0.21825093680014884,"[-0.0008355243640393763, -0.0002492464800792886, -0.001172947664901432, 2.4223313331604004, 2.4229724407196045, 2.4237565994262695, 1.5828091149867327, 1.6090254150279208, -1.5500387399352475, 15.12428974532724, 0.19134724949683912, 0.5, 0.43789473176002497]",0.5,0.43789473176002497,2.4223313331604004,15.12428974532724
1,6,0.06756856869299216,"[0.07160400750177359, 0.06981051231681648, 0.0751020255256978, 2.4150400161743164, 2.4158637523651123, 2.416109085083008, 1.5762550399764357, 1.5959172650073268, 1.5565928149455446, 15.088525186669932, 0.17987421271323134, 0.5, 0.43789473176002497]",0.5,0.43789473176002497,2.4150400161743164,15.088525186669932
2,6,-0.025489033742692263,"[21.611539511023793, 21.594250709452083, 21.58191109413277, 0.29067763686180115, 0.293200820684433, 0.2946591079235077, 1.7728772902853471, 1.7859854403059412, 1.8187558153574264, 15.025880910113608, 0.13622344041707812, 0.5, 0.43789473176002497]",0.5,0.43789473176002497,0.29067763686180115,15.025880910113608
3,5,-0.02804474009808132,"[-0.006468256891197373, 0.016998108648182426, 0.02003383523854556, 0.2913266718387604, 0.2914952039718628, 0.29264888167381287, 1.7859854403059412, 1.7990935903265353, 1.7925395153162382, 14.976179848200418, 0.057905421093525256, 0.5, 0.37052631378173834]",0.5,0.37052631378173834,0.2913266718387604,14.976179848200418
4,13,0.08015510742913853,"[-19.83970740980845, -19.842227485236222, -19.838416170597366, 2.290555000305176, 2.2909774780273438, 2.2917470932006836, 1.34686241461604, 1.3272001895851488, 1.340308339605743, 14.93172775218877, -0.0014188115337105955, 0.5, 0.37052631378173834]",0.5,0.37052631378173834,2.290555000305176,14.93172775218877
5,3,0.07835463658250102,"[0.43266788855959554, 0.4286441228991844, 0.43466563638162636, 2.246767520904541, 2.2475972175598145, 2.2477574348449707, 1.2813216645130696, 1.3075379645542577, 1.2944298145336637, 14.866754413202031, -0.08104065821737283, 0.5, 0.16842104494571689]",0.5,0.16842104494571689,2.246767520904541,14.866754413202031
6,6,0.0667465364629803,"[0.48764934671728344, 0.4908517129748236, 0.4910752963644409, 2.1968469619750977, 2.1973488330841064, 2.197486162185669, 1.2485512894615844, 1.2551053644718815, 1.2616594394821785, 14.818149056900964, -0.15112283375106506, 0.5, 0.16842104494571689]",0.5,0.16842104494571689,2.1968469619750977,14.818149056900964
7,6,0.06371049227070798,"[0.455248659268792, 0.45973455582983364, 0.45653557803719697, 2.149447441101074, 2.149482250213623, 2.1499526500701904, 1.156794239317426, 1.183010539358614, 1.2223349894203963, 14.769471679067909, -0.21256393291639197, 0.5, 0.0]",0.5,0.0,2.149447441101074,14.769471679067909
8,6,0.061302475349568106,"[0.4371278820098825, 0.4296105125969265, 0.4315256017177201, 2.1049861907958984, 2.105785608291626, 2.1060612201690674, 1.143686089296832, 1.1043616392350497, 1.1305779392762378, 14.720847228699009, -0.26019499669763535, 0.5, 0.0]",0.5,0.0,2.1049861907958984,14.720847228699009
9,6,0.05483649603657363,"[0.3359673923503077, 0.3344437774651631, 0.33667535776310425, 2.0700252056121826, 2.0709831714630127, 2.071026563644409, 1.0912534892144556, 1.1043616392350497, 1.0715912641835645, 14.682327935718178, -0.28846300907684297, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.0700252056121826,14.682327935718178
10,5,0.0629776266198981,"[0.22358995078901014, 0.22926918956218562, 0.2281433292778151, 2.0465402603149414, 2.0469017028808594, 2.0470633506774902, 1.0978075642247527, 1.0846994142041586, 1.0519290391526734, 14.625046397452476, -0.3132628502590573, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.0465402603149414,14.625046397452476
11,5,0.05780105399303033,"[0.23854110589863878, 0.241312101053603, 0.23944234022917787, 2.0228757858276367, 2.0229623317718506, 2.0233094692230225, 1.0781453391938616, 1.0912534892144556, 1.0978075642247527, 14.577551873796242, -0.3189241567017276, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.0228757858276367,14.577551873796242
12,5,0.058127533758859644,"[0.18363300088963805, 0.18263801095659501, 0.18560191038067145, 2.0041749477386475, 2.0043628215789795, 2.004408121109009, 1.1109157142453467, 1.0978075642247527, 1.1043616392350497, 14.530071871709257, -0.31224934569265717, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,2.0041749477386475,14.530071871709257
13,5,0.05903733680150835,"[0.14827936685324522, 0.14924999277449685, 0.13717136003237027, 1.9894967079162598, 1.9895884990692139, 1.9908294677734375, 1.0912534892144556, 1.1109157142453467, 1.0715912641835645, 14.482332542759547, -0.29664655346693447, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,1.9894967079162598,14.482332542759547
14,5,0.05981456910089988,"[0.13176488830875477, 0.13224164745743883, 0.1395920700604512, 1.975922703742981, 1.9759653806686401, 1.9764491319656372, 1.1371320142865349, 1.156794239317426, 1.1043616392350497, 14.434434293612156, -0.2826911094559099, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,1.975922703742981,14.434434293612156
15,5,0.060978854694441934,"[0.1503583158793794, 0.15052985645772304, 0.15509187617409328, 1.960980772972107, 1.9610064029693604, 1.9610368013381958, 1.1305779392762378, 1.150240164307129, 1.1240238642659408, 14.386313402602681, -0.2616318162059117, 0.5, -0.30315789580345154]",0.5,-0.30315789580345154,1.960980772972107,14.386313402602681
