step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,14,-4.448522608080094,"[-0.0008291749669631763, -0.0005384509181278476, -0.0016291591881816927, 2.4204533100128174, 2.420457601547241, 2.421358346939087, -1.5369305899146535, -1.5762550399764357, -1.5893631899970297, 14.88989786782312, 0.043047938134111785, 0.5, 0.0]",0.5,0.0,2.4204533100128174,14.88989786782312
1,14,0.08722986021828633,"[0.009866757395470303, -0.002521862269997885, 0.002144847308940772, 2.4194300174713135, 2.4207191467285156, 2.421135902404785, -1.5565928149455446, -1.5828091149867327, -1.5434846649249505, 14.86116784141182, 0.042703059747266625, 0.5, 0.0]",0.5,0.0,2.4194300174713135,14.86116784141182
2,14,0.11959894748032343,"[0.04016165169503947, 0.047944105925134886, 0.05083140807746625, 2.4153144359588623, 2.4158060550689697, 2.415926933288574, -1.5631468899558416, -1.5828091149867327, -1.5500387399352475, 14.766949728346182, 0.050202181049914696, 0.5, 0.0]",0.5,0.0,2.4153144359588623,14.766949728346182
3,14,0.0018852767617772437,"[19.988700528518688, 19.971432779379917, 19.966429244700787, 0.29179999232292175, 0.29412606358528137, 0.2947784960269928, 1.76632321527505, 1.8253098903677234, 1.8187558153574264, 14.707739868088998, 0.05439306733629312, 0.5, 0.0]",0.5,0.0,0.29179999232292175,14.707739868088998
4,5,0.008437999043997876,"[0.020844034074389936, 0.0313775003391933, 0.030413222239451088, 0.28974881768226624, 0.2910383343696594, 0.29178565740585327, 1.76632321527505, 1.753215065254456, 1.7990935903265353, 14.624204319945626, 0.00339550055376181, 0.5, 0.0]",0.5,0.0,0.28974881768226624,14.624204319945626
5,1,-0.012266765149979361,"[1.8304144865455383, 1.8289113529208831, 1.8310578139374425, 0.10000000149011612, 0.10144533962011337, 0.10197015106678009, 0.3899674631126735, 0.44240006319504976, -0.42273783816415844, 14.563497272221731, -0.02920578023853615, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,0.10000000149011612,14.563497272221731
6,13,0.09618964748510966,"[-23.258966971249546, -23.24602164183095, -23.2454353582687, 2.381570339202881, 2.3817458152770996, 2.3822131156921387, 1.464835764801386, 1.4713898398116831, 1.458281689791089, 14.498531189294361, -0.06266787957150655, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,2.381570339202881,14.498531189294361
7,9,0.08433352362324643,"[0.08286806510348928, 0.08065475084537921, 0.08230138233436142, 2.373063325881958, 2.3734660148620605, 2.3737642765045166, 1.451727614780792, 1.4189572397293073, 1.458281689791089, 14.438113999859796, -0.09270142188072228, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,2.373063325881958,14.438113999859796
8,6,0.06982600067257759,"[0.08240043793622553, 0.08243693262168697, 0.08444185940422426, 2.364450216293335, 2.364849090576172, 2.3649377822875977, 1.3927409396881192, 1.3861868646778222, 1.4124031647190103, 14.386255198499649, -0.12206800014992147, 0.5, -0.10105262696743013]",0.5,-0.10105262696743013,2.364450216293335,14.386255198499649
9,6,0.06322513717789711,"[0.10260059006347934, 0.08747123266717499, 0.08423121403359143, 2.353895425796509, 2.3558506965637207, 2.3562726974487305, 1.3927409396881192, 1.4058490897087133, 1.425511314739604, 14.346648774482793, -0.13156149661062067, 0.5, -0.16842104494571689]",0.5,-0.16842104494571689,2.353895425796509,14.346648774482793
