step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,14,-1.1372769658304427,"[0.1317745756330206, 0.1306658090427034, 0.1295570424523862, 2.3411388397216797, 2.34222674369812, 2.3429718017578125, 0.016385187525742584, 0.00983111251544555, 0.022939262536039617, 15.002736019762743, -0.010770389097614519, 0.5, 0.0]",0.5,0.0,2.3411388397216797,15.002736019762743
1,11,0.09495483574376339,"[0.19700734918754395, 0.19429113570472256, 0.19905654925304128, 2.3216328620910645, 2.3229897022247314, 2.323262929916382, 0.016385187525742584, 0.0032770375051485168, 0.00983111251544555, 14.962623320612163, 0.0020302766305304587, 0.5, 0.0]",0.5,0.0,2.3216328620910645,14.962623320612163
2,11,0.09968829049043232,"[0.22604556985593596, 0.2238159517769451, 0.2234901203249005, 2.298476457595825, 2.3000617027282715, 2.300368309020996, 0.0032770375051485168, -0.0032770375051485168, 0.00983111251544555, 14.910508038867189, 0.027387007641099803, 0.5, 0.0]",0.5,0.0,2.298476457595825,14.910508038867189
3,11,0.11830601385338757,"[0.29997444379080557, 0.29602528618132373, 0.29061749587725305, 2.2688121795654297, 2.2707879543304443, 2.2716293334960938, -0.02949333754633665, -0.036047412556633684, -0.022939262536039617, 14.82002350451539, 0.03872506645023277, 0.5, 0.37052631378173834]",0.5,0.37052631378173834,2.2688121795654297,14.82002350451539
4,11,-0.09660800621186143,"[19.34417661540339, 19.357399126028806, 19.3456304960561, 0.30362963676452637, 0.3042621314525604, 0.306299090385437, 1.930175090532475, 1.923621015522178, 1.9432832405530691, 14.760111459487065, 0.03128057452047672, 0.5, 0.37052631378173834]",0.5,0.37052631378173834,0.30362963676452637,14.760111459487065
