step,action,reward,state,dwa_vel,dwa_ang,min_obstacle,goal_dist
0,10,-4.382749131569156,"[-0.0005935190386716463, 0.0008189308268065187, 0.0006652587903737013, 2.396690607070923, 2.396836996078491, 2.3970067501068115, 1.458281689791089, 1.4976061398528713, 1.4844979898322772, 14.960570088072423, -0.30134543181205276, 0.0, 0.0]",0.0,0.0,2.396690607070923,14.960570088072423
1,4,0.01375555983046859,"[0.0061026653178550124, -0.0027282781193038058, -0.0022731720890310013, 2.396073579788208, 2.3971128463745117, 2.3972365856170654, 1.5041602148631683, 1.4844979898322772, 1.4713898398116831, 14.937394958341866, -0.2966401006961994, 0.0, 0.0]",0.0,0.0,2.396073579788208,14.937394958341866
2,4,-9.202001590816536e-05,"[-0.010662214507501976, -0.0027627237673746837, -0.0024955058810019123, 2.3972246646881104, 2.3974111080169678, 2.39750599861145, 1.5172683648837624, 1.4976061398528713, 1.5041602148631683, 14.927163754612465, -0.28255243761216864, 0.0, 0.0]",0.0,0.0,2.3972246646881104,14.927163754612465
3,4,-0.011367435403573316,"[0.01369413535866282, 0.004721533279933604, 0.002579110411982127, 2.39587140083313, 2.396944522857666, 2.3972511291503906, 1.5172683648837624, 1.4910520648425742, 1.5369305899146535, 14.924603027976708, -0.27135597442903414, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,2.39587140083313,14.924603027976708
4,6,-0.0010497320829448934,"[-0.020109429238168285, -0.011029180353092296, -0.009635088226449052, 2.39792799949646, 2.3980724811553955, 2.3982365131378174, 1.5107142898734653, 1.4844979898322772, 1.5434846649249505, 14.917763944855063, -0.26778547287535615, 0.5, -0.03368420898914337]",0.5,-0.03368420898914337,2.39792799949646,14.917763944855063
5,6,0.009748701404192097,"[-0.04030127828495534, -0.04142699852372653, -0.042320662397487864, 2.401820182800293, 2.402073383331299, 2.4023237228393555, 1.5238224398940594, 1.5434846649249505, 1.5107142898734653, 14.9065248341342, -0.25581707912479157, 0.5, 0.03368420898914337]",0.5,0.03368420898914337,2.401820182800293,14.9065248341342
6,6,0.023827655093529184,"[-0.06675095597863931, -0.06495188617140359, -0.06392758090466831, 2.4085166454315186, 2.4085893630981445, 2.4087369441986084, 1.5434846649249505, 1.5828091149867327, 1.5565928149455446, 14.885592976024984, -0.2311654792215645, 0.5, 0.03368420898914337]",0.5,0.03368420898914337,2.4085166454315186,14.885592976024984
7,6,0.04062653419525512,"[-0.10399101382123212, -0.10457529661410386, -0.10522525460462398, 2.419464588165283, 2.4195988178253174, 2.4198148250579834, 1.5762550399764357, 1.5697009649661386, 1.5434846649249505, 14.850275347850246, -0.2022455978422779, 0.5, 0.0]",0.5,0.0,2.419464588165283,14.850275347850246
8,6,0.051718600431146754,"[0.0765027720330508, 0.07107279135475227, 0.06821094637499636, 2.4119503498077393, 2.4126179218292236, 2.4131150245666504, -1.5303765149043564, -1.5500387399352475, -1.5172683648837624, 14.811761176496034, -0.17556970491918378, 0.5, 0.0]",0.5,0.0,2.4119503498077393,14.811761176496034
9,14,0.06519402473368191,"[0.1710466631970473, 0.1754895266834418, 0.17965784460243414, 2.3948683738708496, 2.395092248916626, 2.3951730728149414, -1.5107142898734653, -1.5303765149043564, -1.4910520648425742, 14.765152911751622, -0.14700215277048345, 0.5, 0.16842104494571689]",0.5,0.16842104494571689,2.3948683738708496,14.765152911751622
